,OperatingExpenses,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
December 2006,,285518250.0,,427549000.0,,
March 2007,,285518250.0,,427549000.0,,
June 2007,,285518250.0,,427549000.0,,
September 2007,,285518250.0,,427549000.0,,
December 2007,521849250.0,280170500.0,,282441500.0,,
March 2008,521849250.0,280170500.0,,282441500.0,,
June 2008,521849250.0,268559000.0,,164768000.0,,
September 2008,521849250.0,275222000.0,,231095000.0,,
December 2008,587668000.0,229540000.0,183750000.0,-132934000.0,,
March 2009,448802000.0,236335000.0,183750000.0,-255390000.0,,
June 2009,402057000.0,234052000.0,183750000.0,-54865000.0,,
September 2009,385894000.0,234188000.0,183750000.0,137862000.0,,
December 2009,595000000.0,269003000.0,224000000.0,82751000.0,,
March 2010,541000000.0,306000000.0,224000000.0,264004000.0,,
June 2010,677477000.0,290398000.0,252000000.0,123000000.0,,
September 2010,517817000.0,278120000.0,242000000.0,468015000.0,,
December 2010,462000000.0,270000000.0,221000000.0,506000000.0,,
March 2011,512000000.0,297000000.0,219000000.0,489000000.0,,
June 2011,497000000.0,282000000.0,240000000.0,476000000.0,,
September 2011,491000000.0,269000000.0,221000000.0,456000000.0,,
December 2011,607000000.0,304000000.0,303000000.0,117000000.0,,
March 2012,602000000.0,321000000.0,281000000.0,289000000.0,,
June 2012,608000000.0,309000000.0,255000000.0,218000000.0,,
September 2012,1085000000.0,303000000.0,237000000.0,-515000000.0,,
December 2012,543000000.0,304000000.0,230000000.0,34000000.0,,
March 2013,876000000.0,344000000.0,244000000.0,-129000000.0,,
June 2013,556000000.0,334000000.0,,168000000.0,,
September 2013,584000000.0,338000000.0,,183000000.0,,
December 2013,561000000.0,356000000.0,,253000000.0,,
March 2014,614000000.0,355000000.0,,262000000.0,,
June 2014,601000000.0,357000000.0,,301000000.0,,
September 2014,547000000.0,360000000.0,,256000000.0,,
December 2014,501000000.0,351000000.0,,348000000.0,,
March 2015,600000000.0,365000000.0,,364000000.0,,
June 2015,622000000.0,372000000.0,,329000000.0,,
September 2015,536000000.0,363000000.0,,336000000.0,,
December 2015,562000000.0,374000000.0,,286000000.0,,
March 2016,579000000.0,386000000.0,,320000000.0,,
June 2016,596000000.0,386000000.0,,505000000.0,,
September 2016,622000000.0,394000000.0,,610000000.0,,
December 2016,638000000.0,417000000.0,,703000000.0,,
March 2017,660000000.0,437000000.0,,824000000.0,,
June 2017,677000000.0,454000000.0,,925000000.0,,
September 2017,689000000.0,466000000.0,,982000000.0,,
December 2017,724000000.0,488000000.0,,165000000.0,,
March 2018,763000000.0,509000000.0,,1100000000.0,,
June 2018,770000000.0,505000000.0,,1173000000.0,,
September 2018,769000000.0,517000000.0,,876000000.0,,
December 2018,757000000.0,516000000.0,,771000000.0,,
March 2019,754000000.0,508000000.0,,666000000.0,,
June 2019,755000000.0,515000000.0,,571000000.0,,
September 2019,770000000.0,515000000.0,,698000000.0,,
December 2019,816000000.0,552000000.0,,892000000.0,,
March 2020,817000000.0,550000000.0,,755000000.0,,
June 2020,847000000.0,572000000.0,,841000000.0,,
September 2020,847000000.0,560000000.0,,1131000000.0,,
December 2020,1066000000.0,606000000.0,,1130000000.0,,
March 2021,1074000000.0,617000000.0,,1330000000.0,,
June 2021,954000000.0,640000000.0,,1716000000.0,,
September 2021,931000000.0,622000000.0,,1712000000.0,,
December 2021,983000000.0,654000000.0,,1792000000.0,,
March 2022,1033000000.0,686000000.0,,1536000000.0,,
June 2022,1082000000.0,705000000.0,,1606000000.0,,
