,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2009,3538500.0,16779750.0,-8512500.0,,,
June 2009,3538500.0,16779750.0,-8512500.0,,,
September 2009,3538500.0,16779750.0,-8512500.0,,,
December 2009,3538500.0,16779750.0,-8512500.0,,,
March 2010,4583000.0,19549000.0,4431000.0,,,
June 2010,4316000.0,18283000.0,5892000.0,,,
September 2010,5086000.0,17112000.0,6915000.0,,,
December 2010,4328000.0,17366000.0,4800000.0,482584000.0,266655000.0,137716000.0
March 2011,5029000.0,18372000.0,5116000.0,,,
June 2011,4590000.0,18057000.0,4132000.0,495423000.0,275353000.0,140859000.0
September 2011,5163000.0,18343000.0,5863000.0,516475000.0,292986000.0,141537000.0
December 2011,5208000.0,-636000.0,5856000.0,480815000.0,283386000.0,112569000.0
March 2012,6109000.0,19404000.0,2283000.0,508666000.0,293215000.0,125771000.0
June 2012,5131000.0,19378000.0,3301000.0,490089000.0,276390000.0,122528000.0
September 2012,4350000.0,19387000.0,5917000.0,481376000.0,269153000.0,122502000.0
December 2012,5328000.0,22217000.0,8832000.0,561190000.0,309558000.0,158167000.0
March 2013,6252000.0,21407000.0,3568000.0,564550000.0,315047000.0,155388000.0
June 2013,5771000.0,20749000.0,-11335000.0,528673000.0,294067000.0,143538000.0
September 2013,5718000.0,20765000.0,6819000.0,539863000.0,307807000.0,142576000.0
December 2013,5481000.0,7068000.0,-2981000.0,480265000.0,236269000.0,169127000.0
March 2014,5626000.0,13641000.0,5080000.0,474182000.0,231533000.0,168208000.0
June 2014,5332000.0,15813000.0,6361000.0,479631000.0,235572000.0,169629000.0
September 2014,5807000.0,13899000.0,8117000.0,488762000.0,244454000.0,170151000.0
December 2014,5798000.0,17698000.0,6964000.0,456926000.0,240401000.0,145111000.0
March 2015,5199000.0,15711000.0,6287000.0,471197000.0,254710000.0,146025000.0
June 2015,5487000.0,15224000.0,19080000.0,489270000.0,261661000.0,
September 2015,5692000.0,12690000.0,-4760000.0,488741000.0,257708000.0,
December 2015,6083000.0,13805000.0,-13653000.0,483373000.0,251979000.0,167547000.0
March 2016,6163000.0,14872000.0,7863000.0,540339000.0,235654000.0,
June 2016,5967000.0,15764000.0,14487000.0,519834000.0,220472000.0,
September 2016,6284000.0,16048000.0,3720000.0,513571000.0,216843000.0,
December 2016,5626000.0,14940000.0,8310000.0,517697000.0,215707000.0,219879000.0
March 2017,6003000.0,15246000.0,8484000.0,527695000.0,227220000.0,
June 2017,6049000.0,15809000.0,9966000.0,538390000.0,222570000.0,
September 2017,6380000.0,15915000.0,9619000.0,543283000.0,229774000.0,
December 2017,6714000.0,24973000.0,-13621000.0,539696000.0,233609000.0,217840000.0
March 2018,6507000.0,17372000.0,11548000.0,548692000.0,242538000.0,
June 2018,6476000.0,19621000.0,7209000.0,542553000.0,232060000.0,
September 2018,6517000.0,18450000.0,10211000.0,549592000.0,238998000.0,
December 2018,5804000.0,18126000.0,17564000.0,548341000.0,239359000.0,209581000.0
March 2019,6791000.0,17522000.0,11419000.0,574008000.0,242225000.0,
June 2019,6257000.0,17036000.0,11943000.0,580701000.0,250419000.0,
September 2019,6806000.0,17774000.0,2722000.0,648001000.0,245029000.0,
December 2019,6113000.0,18076000.0,10062000.0,643354000.0,237478000.0,276194000.0
March 2020,7408000.0,16759000.0,3808000.0,685165000.0,282978000.0,
June 2020,5522000.0,14668000.0,4857000.0,663389000.0,264795000.0,
September 2020,5723000.0,16883000.0,11073000.0,655853000.0,263683000.0,
December 2020,5664000.0,19477000.0,14947000.0,626049000.0,233231000.0,
March 2021,5687000.0,18325000.0,11990000.0,634665000.0,246636000.0,
June 2021,6029000.0,20937000.0,875000.0,647298000.0,263344000.0,
September 2021,6454000.0,19922000.0,-63896000.0,651973000.0,277449000.0,
December 2021,5686000.0,23413000.0,9165000.0,664462000.0,289089000.0,
March 2022,6194000.0,21788000.0,20239000.0,684746000.0,292045000.0,
June 2022,6294000.0,22238000.0,12598000.0,729634000.0,278550000.0,
