,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets
March 2008,,397500000.0,121500000.0,
June 2008,,397500000.0,121500000.0,
September 2008,,397500000.0,121500000.0,
December 2008,,397500000.0,121500000.0,
March 2009,100250000.0,346000000.0,86000000.0,
June 2009,100250000.0,330666666.6666667,-39000000.0,
September 2009,100250000.0,330666666.6666667,-39000000.0,
December 2009,100250000.0,330666666.6666667,-39000000.0,18940000000.0
March 2010,100750000.0,287000000.0,-8000000.0,18110000000.0
June 2010,100750000.0,299000000.0,82000000.0,
September 2010,100750000.0,301000000.0,-48000000.0,
December 2010,100750000.0,344000000.0,60000000.0,15282000000.0
March 2011,131250000.0,304000000.0,29000000.0,15059000000.0
June 2011,131250000.0,295000000.0,90000000.0,14839000000.0
September 2011,131250000.0,251000000.0,142000000.0,15281000000.0
December 2011,131250000.0,333000000.0,-19000000.0,13615000000.0
March 2012,146000000.0,312000000.0,118000000.0,13280000000.0
June 2012,146000000.0,283000000.0,172000000.0,13068000000.0
September 2012,146000000.0,265000000.0,151000000.0,13065000000.0
December 2012,146000000.0,305000000.0,148000000.0,13033000000.0
March 2013,162750000.0,279000000.0,119000000.0,12557000000.0
June 2013,162750000.0,296000000.0,113000000.0,12440000000.0
September 2013,162750000.0,245000000.0,99000000.0,12457000000.0
December 2013,162750000.0,306000000.0,167000000.0,12944000000.0
March 2014,173500000.0,302000000.0,85000000.0,14963000000.0
June 2014,173500000.0,353000000.0,144000000.0,15135000000.0
September 2014,173500000.0,304000000.0,159000000.0,14739000000.0
December 2014,173500000.0,402000000.0,212000000.0,14605000000.0
March 2015,194500000.0,337000000.0,128000000.0,14738000000.0
June 2015,194500000.0,329000000.0,167000000.0,14948000000.0
September 2015,194500000.0,303000000.0,176000000.0,14898000000.0
December 2015,194500000.0,335000000.0,226000000.0,14708000000.0
March 2016,169250000.0,308000000.0,150000000.0,15099000000.0
June 2016,169250000.0,318000000.0,177000000.0,15034000000.0
September 2016,169250000.0,323000000.0,421000000.0,15167000000.0
December 2016,169250000.0,355000000.0,214000000.0,15358000000.0
March 2017,158500000.0,309000000.0,101000000.0,15703000000.0
June 2017,158500000.0,343000000.0,153000000.0,15775000000.0
September 2017,158500000.0,335000000.0,159000000.0,15875000000.0
December 2017,158500000.0,350000000.0,-106000000.0,15340000000.0
March 2018,160750000.0,327000000.0,189000000.0,14968000000.0
June 2018,160750000.0,370000000.0,224000000.0,14558000000.0
September 2018,160750000.0,307000000.0,563000000.0,14669000000.0
December 2018,160750000.0,271000000.0,246000000.0,14264000000.0
March 2019,161750000.0,307000000.0,179000000.0,14480000000.0
June 2019,161750000.0,292000000.0,217000000.0,14796000000.0
September 2019,161750000.0,255000000.0,220000000.0,15062000000.0
December 2019,161750000.0,298000000.0,199000000.0,15018000000.0
March 2020,137250000.0,263000000.0,50000000.0,15946000000.0
June 2020,137250000.0,239000000.0,-92000000.0,15471000000.0
September 2020,137250000.0,258000000.0,115000000.0,15861000000.0
December 2020,137250000.0,285000000.0,236000000.0,15443000000.0
March 2021,154750000.0,298000000.0,171000000.0,15414000000.0
June 2021,154750000.0,314000000.0,183000000.0,15379000000.0
September 2021,154750000.0,283000000.0,185000000.0,15269000000.0
December 2021,154750000.0,326000000.0,207000000.0,15827000000.0
March 2022,,305000000.0,193000000.0,15911000000.0
June 2022,,278000000.0,217000000.0,15879000000.0
