,OperatingExpenses,NetIncomeLoss,Assets
March 2010,254000.0,277000.0,
June 2010,254000.0,277000.0,
September 2010,262000.0,-743000.0,
December 2010,244000.0,-83000.0,9915000.0
March 2011,256000.0,-101000.0,
June 2011,207000.0,-494000.0,
September 2011,243000.0,147000.0,9370000.0
December 2011,238000.0,-147000.0,9446000.0
March 2012,257000.0,-135000.0,9376000.0
June 2012,229000.0,-111000.0,9352000.0
September 2012,228000.0,-90000.0,9222000.0
December 2012,264000.0,-113000.0,9119000.0
March 2013,278000.0,-157000.0,8892000.0
June 2013,235000.0,-69000.0,8750000.0
September 2013,276000.0,-85000.0,8682000.0
