,OperatingExpenses,SellingGeneralAndAdministrativeExpense,Assets
March 2010,149414250.0,114976000.0,
June 2010,149414250.0,121311000.0,
September 2010,149414250.0,122330000.0,
December 2010,149414250.0,172276000.0,47627362000.0
March 2011,155588000.0,135526000.0,
June 2011,149228000.0,138308000.0,48058133000.0
September 2011,149224000.0,142957000.0,48060458000.0
December 2011,178935000.0,149902000.0,48212427000.0
March 2012,164539000.0,139758000.0,50771690000.0
June 2012,176998000.0,151858000.0,51089667000.0
September 2012,177856000.0,152569000.0,53508742000.0
December 2012,175122000.0,152464000.0,52818605000.0
March 2013,192859000.0,167422000.0,55491036000.0
June 2013,187836000.0,163704000.0,55217846000.0
September 2013,169243000.0,160120000.0,54278771000.0
December 2013,197383000.0,159101000.0,55323527000.0
March 2014,173815000.0,164086000.0,56642225000.0
June 2014,213338000.0,174494000.0,57581772000.0
September 2014,214843000.0,194344000.0,57779540000.0
December 2014,261126000.0,248067000.0,58348219000.0
March 2015,271677000.0,244484000.0,59632160000.0
June 2015,288441000.0,268645000.0,58471956000.0
September 2015,310792000.0,263608000.0,57492336000.0
December 2015,347263000.0,302259000.0,57899779000.0
March 2016,286791000.0,276528000.0,59495039000.0
June 2016,339540000.0,294507000.0,60413439000.0
September 2016,318481000.0,307329000.0,61697740000.0
December 2016,301429000.0,302863000.0,60308798000.0
March 2017,320083000.0,307131000.0,61271010000.0
June 2017,312411000.0,284364000.0,61993567000.0
September 2017,315063000.0,293176000.0,62509366000.0
December 2017,300727000.0,312942000.0,62461262000.0
March 2018,317233000.0,298132000.0,61614417000.0
June 2018,349090000.0,308545000.0,61344406000.0
September 2018,319992000.0,298669000.0,60853342000.0
