,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets
March 2010,600000.0,-6567250.0,
June 2010,600000.0,-6567250.0,
September 2010,600000.0,-6567250.0,
December 2010,600000.0,-6567250.0,661894000.0
March 2011,625000.0,-17039000.0,
June 2011,625000.0,-9144000.0,653283000.0
September 2011,625000.0,-4718000.0,661725000.0
December 2011,625000.0,-2976000.0,664485000.0
March 2012,600000.0,-3186000.0,657733000.0
June 2012,600000.0,3204000.0,670760000.0
September 2012,600000.0,8314000.0,817292000.0
December 2012,600000.0,5015000.0,831300000.0
March 2013,900000.0,2397000.0,968652000.0
June 2013,900000.0,7264000.0,918266000.0
September 2013,900000.0,125311000.0,1083067000.0
December 2013,900000.0,13043000.0,1110176000.0
March 2014,,12632000.0,1084903000.0
June 2014,,13554000.0,1126706000.0
September 2014,,13617000.0,1193154000.0
December 2014,,10986000.0,1211410000.0
March 2015,,9568000.0,1250764000.0
June 2015,,13350000.0,1314989000.0
September 2015,,15570000.0,1406002000.0
December 2015,,13275000.0,1415554000.0
March 2016,,9189000.0,1436712000.0
June 2016,,15916000.0,1453154000.0
September 2016,,10942000.0,1497237000.0
December 2016,,20562000.0,1548511000.0
March 2017,,16883000.0,1572265000.0
June 2017,,16989000.0,1631386000.0
September 2017,,22327000.0,1784695000.0
December 2017,,15882000.0,1864771000.0
March 2018,,18063000.0,1894373000.0
June 2018,,27911000.0,1970540000.0
September 2018,,29282000.0,2058335000.0
December 2018,,32407000.0,2021581000.0
March 2019,,17723000.0,2071778000.0
June 2019,,30246000.0,2089206000.0
September 2019,,37838000.0,2181603000.0
December 2019,,41780000.0,2105594000.0
March 2020,,31746000.0,2198963000.0
June 2020,,54508000.0,2327708000.0
September 2020,,73537000.0,2420555000.0
December 2020,,80083000.0,2643045000.0
March 2021,,84866000.0,2709560000.0
June 2021,,107607000.0,2861412000.0
September 2021,,91012000.0,3046600000.0
December 2021,,113383000.0,3239853000.0
March 2022,,91839000.0,3306511000.0
June 2022,,136838000.0,3493324000.0
