,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets
March 2009,253000000.0,63250000.0,
June 2009,253000000.0,63250000.0,
September 2009,253000000.0,63250000.0,
December 2009,253000000.0,63250000.0,
March 2010,274000000.0,-65000000.0,
June 2010,245000000.0,-116000000.0,
September 2010,234000000.0,298000000.0,
December 2010,264000000.0,82000000.0,21338000000.0
March 2011,319000000.0,240000000.0,
June 2011,304000000.0,289000000.0,23725000000.0
September 2011,285000000.0,-39000000.0,22478000000.0
December 2011,329000000.0,260000000.0,25136000000.0
March 2012,309000000.0,49000000.0,21065000000.0
June 2012,337000000.0,240000000.0,24014000000.0
September 2012,285000000.0,84000000.0,24332000000.0
December 2012,334000000.0,6000000.0,24556000000.0
March 2013,369000000.0,277000000.0,26261000000.0
June 2013,317000000.0,54000000.0,29244000000.0
September 2013,368000000.0,472000000.0,31781000000.0
December 2013,363000000.0,222000000.0,31745000000.0
March 2014,360000000.0,-29000000.0,35186000000.0
June 2014,456000000.0,489000000.0,38559000000.0
September 2014,431000000.0,-355000000.0,36198000000.0
December 2014,378000000.0,-478000000.0,35780000000.0
March 2015,477000000.0,161000000.0,37241000000.0
June 2015,528000000.0,212000000.0,37278000000.0
September 2015,418000000.0,-440000000.0,36452000000.0
December 2015,485000000.0,-1127000000.0,36403000000.0
March 2016,518000000.0,-837000000.0,32282000000.0
June 2016,615000000.0,-69000000.0,32550000000.0
September 2016,603000000.0,-16000000.0,33085000000.0
December 2016,606000000.0,-206000000.0,33371000000.0
March 2017,582000000.0,-18000000.0,34189000000.0
June 2017,623000000.0,1553000000.0,32557000000.0
September 2017,323000000.0,597000000.0,32817000000.0
December 2017,1037000000.0,298000000.0,31801000000.0
March 2018,656000000.0,137000000.0,30498000000.0
June 2018,352000000.0,309000000.0,30190000000.0
September 2018,340000000.0,118000000.0,30975000000.0
December 2018,38000000.0,935000000.0,23396000000.0
March 2019,336000000.0,-394000000.0,23824000000.0
June 2019,339000000.0,-498000000.0,24348000000.0
September 2019,352000000.0,-49000000.0,23257000000.0
December 2019,349000000.0,-157000000.0,24639000000.0
March 2020,308000000.0,-1384000000.0,24306000000.0
June 2020,290000000.0,299000000.0,24706000000.0
September 2020,289000000.0,-714000000.0,22824000000.0
December 2020,304000000.0,146000000.0,24989000000.0
March 2021,316000000.0,162000000.0,28297000000.0
June 2021,304000000.0,-136000000.0,27901000000.0
September 2021,317000000.0,-148000000.0,27973000000.0
December 2021,304000000.0,-396000000.0,27746000000.0
March 2022,301000000.0,323000000.0,27829000000.0
June 2022,315000000.0,-128000000.0,26895000000.0
