,NetIncomeLoss
March 2009,59000000.0
June 2009,59000000.0
September 2009,59000000.0
December 2009,59000000.0
March 2010,87000000.0
June 2010,35000000.0
September 2010,32000000.0
December 2010,59000000.0
March 2011,38000000.0
June 2011,44000000.0
September 2011,50000000.0
December 2011,61000000.0
March 2012,29000000.0
June 2012,36000000.0
September 2012,59000000.0
December 2012,79000000.0
March 2013,56000000.0
June 2013,46000000.0
September 2013,72000000.0
December 2013,40000000.0
March 2014,30000000.0
June 2014,55000000.0
September 2014,61000000.0
December 2014,68000000.0
March 2015,42000000.0
June 2015,21000000.0
September 2015,100000000.0
December 2015,34000000.0
