,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2009,14524500.0,70425000.0,328000.0,,
June 2009,14524500.0,71654000.0,15593000.0,,
September 2009,14524500.0,71936000.0,21148000.0,,
December 2009,14524500.0,52926000.0,38882000.0,1172198000.0,732333000.0
March 2010,6559000.0,72284000.0,35372000.0,,
June 2010,7420000.0,80873000.0,36499000.0,1257993000.0,805346000.0
September 2010,8673000.0,83288000.0,27578000.0,1316246000.0,921263000.0
December 2010,21617000.0,86629000.0,23888000.0,1341824000.0,968314000.0
March 2011,14273000.0,84630000.0,19360000.0,1404332000.0,1017077000.0
June 2011,15195000.0,90393000.0,28783000.0,1491348000.0,1057098000.0
September 2011,28733000.0,93228000.0,19452000.0,1471186000.0,1015040000.0
December 2011,10169000.0,85128000.0,58946000.0,1451959000.0,551154000.0
March 2012,51830000.0,103437000.0,5349000.0,1498731000.0,617071000.0
June 2012,23312000.0,101933000.0,14926000.0,1923490000.0,1097199000.0
September 2012,12263000.0,111489000.0,937000.0,1863783000.0,1068607000.0
