,OperatingExpenses,SellingGeneralAndAdministrativeExpense,Assets,AssetsCurrent,AssetsNoncurrent
September 2010,12540.0,11865.0,,,
December 2010,13258000.0,12592000.0,81597000.0,68290000.0,6148000.0
March 2011,11558000.0,10912000.0,72675000.0,59989000.0,5933000.0
June 2011,23588460.0,21177135.0,65419000.0,53168000.0,5726000.0
September 2011,9703000.0,9120000.0,72803000.0,60791000.0,5691000.0
December 2011,11476000.0,10909000.0,65463000.0,54053000.0,5456000.0
March 2012,10366000.0,9817000.0,49529000.0,38570000.0,5240000.0
June 2012,8402000.0,7896000.0,56456000.0,45933000.0,5049000.0
September 2012,9337000.0,8854000.0,76212000.0,65944000.0,4829000.0
December 2012,11746000.0,11261000.0,50348000.0,40502000.0,4606000.0
March 2013,13633000.0,7586000.0,41688000.0,34859000.0,1911000.0
June 2013,7943000.0,7057000.0,35176000.0,29078000.0,1725000.0
September 2013,5440000.0,5093000.0,47494000.0,40655000.0,2693000.0
