,Assets,AssetsCurrent
December 2010,296700000.0,193100000.0
March 2011,,
June 2011,296000000.0,198900000.0
September 2011,297100000.0,204000000.0
December 2011,300700000.0,206300000.0
March 2012,284500000.0,187800000.0
June 2012,292700000.0,195800000.0
September 2012,286200000.0,174300000.0
December 2012,298600000.0,162800000.0
March 2013,454100000.0,304800000.0
June 2013,347300000.0,178200000.0
September 2013,302900000.0,96600000.0
December 2013,349800000.0,130600000.0
March 2014,391000000.0,160800000.0
June 2014,387800000.0,153000000.0
September 2014,361900000.0,116100000.0
December 2014,415800000.0,148500000.0
March 2015,411800000.0,92700000.0
June 2015,421700000.0,107300000.0
September 2015,442500000.0,123800000.0
December 2015,443700000.0,128300000.0
March 2016,400800000.0,77900000.0
June 2016,428200000.0,111300000.0
September 2016,377700000.0,66000000.0
December 2016,373300000.0,60600000.0
March 2017,378400000.0,70200000.0
June 2017,399800000.0,92300000.0
September 2017,382000000.0,83800000.0
December 2017,403900000.0,105100000.0
