,OperatingExpenses,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2010,,751174.0,270010.0,,,
June 2010,,700195.0,282557.0,,,
September 2010,,667339.0,208580.0,,,
December 2010,,974599.0,467279.0,8139345.0,6229089.0,1910256.0
March 2011,,1026055.0,1196097.0,,,
June 2011,,1006683.0,1410739.0,12863217.0,10804262.0,2058955.0
September 2011,,997723.0,1028225.0,17813897.0,15699515.0,2114382.0
December 2011,,1069221.0,2118454.0,16733971.0,12674254.0,4059717.0
March 2012,,1194747.0,1574273.0,21364798.0,17382383.0,3982415.0
June 2012,,919227.0,-159025.0,,,
September 2012,,2764758.0,2105668.0,50580833.0,16369954.0,34210879.0
December 2012,,2515145.0,137351.0,49102377.0,14331308.0,34771069.0
March 2013,,2258084.0,1083595.0,49338065.0,15127071.0,34210994.0
June 2013,,2395745.0,1891270.0,52409675.0,18261742.0,34147933.0
September 2013,,2495748.0,2329794.0,51645461.0,17266340.0,34379121.0
December 2013,,2138257.0,2574811.0,64546356.0,24095621.0,40450735.0
March 2014,,4187901.0,862165.0,66377073.0,25458789.0,40918284.0
June 2014,,8034935.0,7001082.0,139873327.0,62883087.0,76990240.0
September 2014,,7060631.0,-1929370.0,132929943.0,55527328.0,77402615.0
December 2014,,3116912.0,-11480120.0,133822231.0,33749232.0,100072999.0
March 2015,,7487275.0,-16966455.0,117429460.0,28170762.0,89258698.0
June 2015,,7202564.0,-445195.0,120230689.0,31642656.0,88588033.0
September 2015,,7656555.0,-2069876.0,106970541.0,18934492.0,88036049.0
December 2015,,2442835.0,-3035363.0,95338688.0,23166774.0,70478042.0
March 2016,,7138947.0,-1403411.0,82545092.0,10962167.0,71582925.0
June 2016,,6268213.0,-42660.0,87370088.0,17747588.0,69622500.0
September 2016,,6585783.0,-107956.0,86243750.0,19466950.0,66776800.0
December 2016,,6438671.0,-2398794.0,86985968.0,21185452.0,65800516.0
March 2017,7082216.5,6829897.0,-3196407.0,80467748.0,14666428.0,
June 2017,7082216.5,7004927.0,-1867506.0,82595961.0,16977847.0,
September 2017,7082216.5,7388582.0,-2983932.0,82285706.0,17346939.0,
December 2017,7082216.5,462136.0,-385388.0,84305474.0,20471452.0,
March 2018,7339541.0,7339541.0,-2258622.0,84720563.0,22312948.0,
June 2018,7097667.0,7097667.0,2530068.0,86952212.0,24357538.0,
September 2018,7465498.0,7465498.0,-2287880.0,89129776.0,26977097.0,
December 2018,7015568.0,24558.0,-201333.0,84160408.0,23542912.0,
March 2019,7084754.0,5347741.0,-4963564.0,120858082.0,24121541.0,
June 2019,7809749.0,6028859.0,-427436.0,116478861.0,19551332.0,
September 2019,7968766.0,6153184.0,-1091781.0,120740141.0,25428731.0,
December 2019,3142950.0,6652623.0,1434202.0,120759919.0,27406908.0,
March 2020,7156471.0,6700518.0,2788860.0,125525647.0,33757186.0,
June 2020,7744021.0,6030560.0,-8997638.0,125250538.0,33329501.0,
September 2020,6724439.0,1832067.0,-2435385.0,125153280.0,32925710.0,
December 2020,-13435726.0,26144264.0,-3391952.0,122099958.0,29785388.0,
March 2021,2884978.0,7926580.0,974369.0,126646553.0,35403755.0,
June 2021,9308809.0,8825940.0,-19374569.0,135108226.0,43811140.0,
September 2021,4971635.0,4944719.0,8359506.0,144685626.0,113144368.0,
December 2021,2798635.0,-3964549.0,-8323059.0,266060119.0,234151548.0,
March 2022,8809311.0,8782395.0,-4547456.0,280497572.0,241115559.0,
June 2022,37404000.0,36641000.0,-66970000.0,690663000.0,519741000.0,
