,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2010,814481.0,91548.0,,,
June 2010,764016.0,360000.0,,,
September 2010,671910.0,-1107364.0,,,
December 2010,-3679186.0,1573035.0,83636939.0,36177570.0,47459369.0
March 2011,407997.0,-2643145.0,78460200.0,31035963.0,47424237.0
June 2011,446952.0,-2071439.0,82387778.0,35317296.0,47070482.0
September 2011,722934.0,-1525842.0,82023152.0,34822559.0,47200593.0
December 2011,-176015.0,17767431.0,81101945.0,38599280.0,42502665.0
March 2012,591153.0,-1059443.0,76013705.0,33130035.0,42883670.0
June 2012,455808.0,-2901660.0,78864253.0,37279527.0,41584726.0
September 2012,610095.0,498089.0,78691549.0,37739495.0,40952054.0
December 2012,386662.0,446337.0,77880018.0,36382223.0,41497795.0
March 2013,533385.0,404044.0,81677303.0,39288753.0,42388550.0
June 2013,594785.0,1477140.0,82827767.0,40536553.0,42291214.0
September 2013,807788.0,861575.0,80991889.0,39019123.0,41972766.0
December 2013,1019925.0,-590408.0,80654642.0,38600998.0,42053644.0
March 2014,995513.0,1014000.0,81429962.0,39430385.0,41999577.0
June 2014,936445.0,1782685.0,117486323.0,46707866.0,70778457.0
September 2014,925186.0,379000.0,126474866.0,57248661.0,69226205.0
December 2014,69084.0,312000.0,124739347.0,56028414.0,68710933.0
March 2015,1094264.0,-483000.0,121587210.0,53963004.0,67624206.0
June 2015,1250550.0,-2242970.0,119439581.0,51655933.0,67783648.0
September 2015,680414.0,-618000.0,116494740.0,49634933.0,66859807.0
December 2015,50134.0,399000.0,117493016.0,50847562.0,66645454.0
March 2016,836082.0,-382000.0,113899639.0,47427061.0,66472578.0
June 2016,779035.0,-799945.0,111361480.0,45899085.0,65462395.0
September 2016,752847.0,1505000.0,116462929.0,52507003.0,63955926.0
December 2016,355001.0,-2034000.0,109410336.0,47678194.0,61732142.0
March 2017,995434.0,-768000.0,110011792.0,48181685.0,61830107.0
June 2017,764416.0,-594627.0,108321284.0,44291514.0,64029770.0
September 2017,1031669.0,788218.0,109810830.0,46080889.0,63729941.0
December 2017,249611.0,7610000.0,116398176.0,51839327.0,64558849.0
March 2018,1036702.0,596000.0,115806439.0,51927314.0,63879125.0
June 2018,728293.0,83482.0,114373277.0,50539159.0,63834118.0
September 2018,753792.0,740556.0,115752126.0,51798159.0,63953967.0
December 2018,511682.0,451000.0,117963645.0,54474674.0,63488971.0
March 2019,1074064.0,-1407013.0,125000319.0,54875606.0,70124713.0
June 2019,1021858.0,392276.0,128306803.0,57766468.0,70540335.0
September 2019,1110285.0,-63323.0,130893910.0,60023437.0,70870473.0
