,ResearchAndDevelopmentExpense,Assets
March 2009,10775000.0,
June 2009,10775000.0,
September 2009,10775000.0,
December 2009,10775000.0,1703103000.0
March 2010,12275000.0,
June 2010,12275000.0,2926607000.0
September 2010,12275000.0,2784100000.0
December 2010,12275000.0,2530853000.0
March 2011,11875000.0,3260539000.0
June 2011,11875000.0,3802581000.0
September 2011,11875000.0,2717326000.0
December 2011,11875000.0,2178069000.0
March 2012,11350000.0,3808195000.0
June 2012,11350000.0,2049381000.0
September 2012,11350000.0,2384596000.0
December 2012,11350000.0,1492976000.0
March 2013,10225000.0,4001363000.0
June 2013,10225000.0,2874539000.0
September 2013,10225000.0,3157310000.0
December 2013,10225000.0,2209887000.0
March 2014,8950000.0,3030560000.0
June 2014,8950000.0,1470338000.0
September 2014,8950000.0,1505241000.0
December 2014,8950000.0,1350849000.0
March 2015,7300000.0,1529451000.0
June 2015,7300000.0,1678495000.0
September 2015,7300000.0,1693817000.0
December 2015,7300000.0,1709022000.0
March 2016,7950000.0,1617223000.0
June 2016,7950000.0,1106216000.0
September 2016,7950000.0,917102000.0
December 2016,7950000.0,775285000.0
March 2017,8200000.0,884656000.0
June 2017,8200000.0,956676000.0
September 2017,8200000.0,794045000.0
December 2017,8200000.0,784856000.0
March 2018,8475000.0,800668000.0
June 2018,8475000.0,926934000.0
September 2018,8475000.0,891759000.0
December 2018,8475000.0,1021075000.0
