,NetIncomeLoss,Assets
March 2010,536000.0,
June 2010,649000.0,
September 2010,622000.0,
December 2010,741744.0,503045000.0
March 2011,501000.0,
June 2011,670000.0,541180000.0
September 2011,746000.0,709920000.0
December 2011,954000.0,681413247.0
March 2012,971000.0,722089000.0
June 2012,1037000.0,700616000.0
September 2012,872000.0,725668000.0
December 2012,1168000.0,721385280.0
March 2013,1225000.0,788883000.0
June 2013,812000.0,965437000.0
September 2013,1104000.0,951895000.0
December 2013,1498000.0,940890075.0
March 2014,1427000.0,988567000.0
June 2014,1613000.0,1009289000.0
September 2014,1533000.0,1071981000.0
December 2014,2041000.0,1093768000.0
March 2015,2029000.0,1146148000.0
June 2015,2185000.0,1117648000.0
September 2015,2227000.0,1137849000.0
December 2015,2358000.0,1145130719.0
March 2016,2604000.0,1241951000.0
June 2016,2649000.0,1224900000.0
September 2016,2558000.0,1266638000.0
December 2016,2307000.0,1277367246.0
March 2017,1122000.0,1783204000.0
June 2017,2366000.0,1789622000.0
September 2017,4714000.0,1787976000.0
December 2017,2414000.0,1813238000.0
March 2018,3957000.0,2299413000.0
June 2018,5245000.0,2481689000.0
September 2018,5162000.0,2508942000.0
December 2018,6861000.0,3003986000.0
March 2019,7635000.0,3532979000.0
June 2019,11983000.0,3472584000.0
September 2019,12272000.0,3481931000.0
December 2019,11855000.0,3941863000.0
March 2020,8311000.0,4061801000.0
June 2020,16943000.0,5084905000.0
September 2020,11917000.0,5164159000.0
December 2020,15334000.0,5152760000.0
March 2021,16644000.0,5442798000.0
June 2021,15600000.0,5509733000.0
September 2021,16132000.0,5511884000.0
December 2021,15791000.0,6077414000.0
March 2022,16829000.0,6196095000.0
June 2022,15753000.0,6037425000.0
