,OperatingExpenses,NetIncomeLoss,Assets,AssetsCurrent
March 2009,,22590750.0,,
June 2009,,22590750.0,,
September 2009,,22590750.0,,
December 2009,,22590750.0,,
March 2010,14142250.0,620000.0,,
June 2010,14142250.0,3248000.0,,
September 2010,14142250.0,3400000.0,,
December 2010,14142250.0,3355000.0,205067000.0,41528000.0
March 2011,14250500.0,1168000.0,,
June 2011,14250500.0,3080000.0,199854000.0,40182000.0
September 2011,14250500.0,2835000.0,202060000.0,42880000.0
December 2011,14250500.0,6120000.0,204732000.0,38899000.0
March 2012,16535000.0,3204000.0,202986000.0,39147000.0
June 2012,16535000.0,2956000.0,206059000.0,44076000.0
September 2012,16535000.0,3414000.0,207563000.0,44864000.0
December 2012,16535000.0,3167000.0,213613000.0,48746000.0
March 2013,15191500.0,2361000.0,202128000.0,39861000.0
June 2013,15191500.0,3332000.0,201596000.0,42751000.0
September 2013,15191500.0,4020000.0,199787000.0,40412000.0
December 2013,15191500.0,4852000.0,198254000.0,40632000.0
March 2014,,2058000.0,196761000.0,38850000.0
June 2014,,2545000.0,196260000.0,37760000.0
September 2014,,3345000.0,198346000.0,35726000.0
