,OperatingExpenses,ResearchAndDevelopmentExpense,Assets,AssetsCurrent
March 2009,5698231.5,1430298.75,,
June 2009,5698231.5,1430298.75,,
September 2009,5698231.5,1430298.75,,
December 2009,5698231.5,1430298.75,,
March 2010,6875835.0,1889994.0,,
June 2010,6479095.0,1826118.0,,
September 2010,7219916.0,2031511.0,,
December 2010,7482423.0,2312623.0,57346845.0,31992574.0
March 2011,7783579.0,2313675.0,,
June 2011,7998990.0,2168692.0,59273298.0,38683966.0
September 2011,7747862.0,2072018.0,57859121.0,36131451.0
December 2011,7643990.0,2294734.0,57097175.0,36922831.0
March 2012,9700731.0,2402897.0,58843331.0,37844056.0
