,OperatingExpenses,Assets,AssetsCurrent,AssetsNoncurrent
September 2010,3023623.0,,,
December 2010,3702748.0,,,
March 2011,3063821.0,,,
June 2011,5527257.0,387461701.0,305193810.0,82267891.0
September 2011,5261278.0,452164083.0,369862177.0,
December 2011,4657109.0,482319778.0,393058716.0,
March 2012,3147291.0,484747189.0,393634488.0,
June 2012,4951595.0,433525265.0,338210027.0,95315238.0
September 2012,4443076.0,436106458.0,,
December 2012,4529165.0,456575737.0,353715300.0,102860437.0
March 2013,3907867.0,474916988.0,373294946.0,101622042.0
June 2013,5902541.0,589800872.0,491445091.0,98355781.0
September 2013,4899126.0,508288292.0,405316530.0,102971762.0
December 2013,3962638.0,541954900.0,438834962.0,103119938.0
March 2014,3694204.0,653758648.0,553100617.0,100658031.0
June 2014,3929205.0,568351618.0,475761406.0,92590212.0
September 2014,2518891.0,511874563.0,421417503.0,90457060.0
December 2014,2644235.0,498153224.0,410003673.0,88149551.0
March 2015,2524423.0,491886753.0,370214283.0,121672470.0
