,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,AssetsCurrent,AssetsNoncurrent
March 2015,11500000.0,,5525423000.0,1896504000.0,3628919000.0
June 2015,11500000.0,,5239108000.0,1707572000.0,3531536000.0
September 2015,11500000.0,,5201791000.0,1733304000.0,3468487000.0
December 2015,11500000.0,,5304556000.0,1889224000.0,3415332000.0
March 2016,12000000.0,,4717944000.0,1370640000.0,3347304000.0
June 2016,12000000.0,,4830559000.0,1595248000.0,3235311000.0
September 2016,10000000.0,,4952222000.0,1809714000.0,3142508000.0
December 2016,7000000.0,,5119461000.0,2059690000.0,3059771000.0
March 2017,7000000.0,,5126673000.0,2240351000.0,2886322000.0
June 2017,9000000.0,,5160461000.0,2366489000.0,2793972000.0
September 2017,8000000.0,,4407184000.0,1680671000.0,2726513000.0
December 2017,9000000.0,,4379187000.0,1688843000.0,2690344000.0
March 2018,6000000.0,351140250.0,4450325000.0,1812723000.0,2637602000.0
June 2018,6000000.0,351140250.0,3776770000.0,1167585000.0,2609185000.0
September 2018,6000000.0,351140250.0,3822305000.0,1277633000.0,2544672000.0
December 2018,6000000.0,351140250.0,3905544000.0,1427591000.0,2477953000.0
March 2019,5000000.0,388385000.0,4732587000.0,1722933000.0,3009654000.0
June 2019,6000000.0,388385000.0,5290395000.0,2030296000.0,3260099000.0
September 2019,4000000.0,438644000.0,4440163000.0,1056477000.0,3383686000.0
December 2019,6000000.0,451760000.0,4386559000.0,1072855000.0,3313704000.0
March 2020,6000000.0,422249000.0,4633890000.0,1403195000.0,3230695000.0
June 2020,5000000.0,348367000.0,4156336000.0,1022162000.0,3134174000.0
September 2020,6000000.0,379167000.0,5367586000.0,2319162000.0,3048424000.0
December 2020,7000000.0,290770000.0,5468035000.0,2532629000.0,2935406000.0
March 2021,7000000.0,333074000.0,5516967000.0,2710006000.0,2806961000.0
June 2021,7000000.0,332060000.0,5548472000.0,2868695000.0,2679777000.0
September 2021,7000000.0,392605000.0,6083969000.0,3533458000.0,2550511000.0
December 2021,8000000.0,385158000.0,11862682000.0,4208399000.0,7654283000.0
March 2022,10000000.0,401751000.0,12238248000.0,3115567000.0,9122681000.0
June 2022,12000000.0,364147000.0,12231824000.0,3076904000.0,9154920000.0
