,NetIncomeLoss,Assets,AssetsCurrent
March 2010,-735782.5,,
June 2010,-735782.5,,
September 2010,-1457690.0,,
December 2010,-1595507.0,56463061.0,4817027.0
March 2011,-87421.0,,
June 2011,-424965.0,54381894.0,3520578.0
September 2011,-1005386.0,54161726.0,3420193.0
December 2011,-3081759.0,60932417.0,4626534.0
March 2012,-1211311.0,66540213.0,3355587.0
June 2012,-1028084.0,76368659.0,13016488.0
September 2012,-888946.0,69255511.0,5473230.0
December 2012,-977140.0,71766785.0,5905523.0
March 2013,-478784.0,70592588.0,5530083.0
June 2013,-496570.0,72415747.0,5717537.0
September 2013,-1679343.0,73466025.0,6125517.0
December 2013,-795243.0,66768616.0,6536922.0
