,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2009,5562500.0,-498250.0,,,
June 2009,5562500.0,-498250.0,,,
September 2009,5562500.0,-498250.0,,,
December 2009,5562500.0,-498250.0,,,
March 2010,5794000.0,-963000.0,,,
June 2010,5544000.0,1720000.0,,,
September 2010,5901000.0,1670000.0,,,
December 2010,6002000.0,625000.0,160072000.0,65360000.0,34809000.0
March 2011,6156000.0,3991000.0,,,
June 2011,5902000.0,1631000.0,155927000.0,62967000.0,34654000.0
September 2011,5745000.0,1100000.0,157934000.0,63779000.0,43060000.0
December 2011,-1243000.0,1000000.0,141526000.0,47425000.0,42974000.0
March 2012,6565000.0,1523000.0,138041000.0,43901000.0,43082000.0
June 2012,6096000.0,2093000.0,140246000.0,46319000.0,42718000.0
September 2012,4270000.0,2609000.0,142414000.0,48544000.0,42448000.0
December 2012,816000.0,28700000.0,150183000.0,90595000.0,25861000.0
March 2013,4586000.0,895000.0,134247000.0,76618000.0,24256000.0
June 2013,4667000.0,1814000.0,136645000.0,78901000.0,24252000.0
September 2013,4537000.0,1956000.0,121545000.0,63515000.0,24333000.0
December 2013,4456000.0,1300000.0,119185000.0,63611000.0,24315000.0
March 2014,4461000.0,2140000.0,123792000.0,65869000.0,24295000.0
June 2014,4701000.0,2600000.0,126519000.0,68702000.0,24291000.0
September 2014,4710000.0,2229000.0,129116000.0,71637000.0,24344000.0
December 2014,4769000.0,1700000.0,129091000.0,74180000.0,24341000.0
March 2015,4866000.0,2414000.0,130402000.0,73119000.0,24337000.0
June 2015,4854000.0,2810000.0,132636000.0,75292000.0,24333000.0
September 2015,4684000.0,2200000.0,135300000.0,78016000.0,
December 2015,5026000.0,1700000.0,134792000.0,76909000.0,
March 2016,4852000.0,2200000.0,133949000.0,75732000.0,
June 2016,4769000.0,2438000.0,136769000.0,79140000.0,
September 2016,4926000.0,2969000.0,141878000.0,73737000.0,
December 2016,5046000.0,2900000.0,143980000.0,59175000.0,
March 2017,5162000.0,3151000.0,145272000.0,59227000.0,
June 2017,4907000.0,3303000.0,147316000.0,50684000.0,
September 2017,4830000.0,2500000.0,150182000.0,56561000.0,
December 2017,4691000.0,4300000.0,150959000.0,56362000.0,
March 2018,5130000.0,3700000.0,152311000.0,58093000.0,
June 2018,5251000.0,4997000.0,158529000.0,64867000.0,
September 2018,5074000.0,3900000.0,164032000.0,75156000.0,
December 2018,5005000.0,2700000.0,166429000.0,76285000.0,
March 2019,5334000.0,3986000.0,166406000.0,70872000.0,
June 2019,5317000.0,4900000.0,171433000.0,75597000.0,
September 2019,5210000.0,3887000.0,176410000.0,84163000.0,
December 2019,5436000.0,3200000.0,178544000.0,95097000.0,
March 2020,5411000.0,4271000.0,179848000.0,99654000.0,
June 2020,4997000.0,2065000.0,181228000.0,96470000.0,
September 2020,5246000.0,1832000.0,181966000.0,97772000.0,
December 2020,5377000.0,2100000.0,184045000.0,101246000.0,
March 2021,5218000.0,4685000.0,183801000.0,101807000.0,
June 2021,5548000.0,4620000.0,187899000.0,108850000.0,
September 2021,5791000.0,4132000.0,192340000.0,117657000.0,
December 2021,5666000.0,3131000.0,192452000.0,120231000.0,
March 2022,5774000.0,4984000.0,191878000.0,119542000.0,
June 2022,5884000.0,6176000.0,195103000.0,124712000.0,
