,OperatingExpenses,NetIncomeLoss,Assets,AssetsCurrent
March 2008,208817250.0,12037000.0,,
June 2008,208817250.0,12037000.0,,
September 2008,208817250.0,12037000.0,,
December 2008,208817250.0,12037000.0,,
March 2009,207022000.0,12042000.0,,
June 2009,169427000.0,13769000.0,,
September 2009,213107000.0,21740000.0,,
December 2009,184826000.0,6766000.0,2221760000.0,236694000.0
March 2010,187400000.0,15915000.0,,
June 2010,181603000.0,11489000.0,2195155000.0,231353000.0
September 2010,201514000.0,16269000.0,2792947000.0,778421000.0
December 2010,301850000.0,10474000.0,4455433000.0,723826000.0
March 2011,461238000.0,52044000.0,4434902000.0,574289000.0
June 2011,273825000.0,14156000.0,4487033000.0,523096000.0
September 2011,287174000.0,12180000.0,4582306000.0,564481000.0
December 2011,328475000.0,21276000.0,4744609000.0,667228000.0
March 2012,370357000.0,47050000.0,4664886000.0,593608000.0
June 2012,247001000.0,11999000.0,4644217000.0,558346000.0
September 2012,283762000.0,15749000.0,4730444000.0,604698000.0
December 2012,354791000.0,28839000.0,5019164000.0,626709000.0
March 2013,451806000.0,51791000.0,4963091000.0,628088000.0
June 2013,275839000.0,17924000.0,4875048000.0,545879000.0
September 2013,293819000.0,5144000.0,4865778000.0,533626000.0
December 2013,356763000.0,40406000.0,5144220000.0,888004000.0
March 2014,466748000.0,55452000.0,5130244000.0,938991000.0
June 2014,298522000.0,9343000.0,5098025000.0,891585000.0
September 2014,258874000.0,12498000.0,4857741000.0,587784000.0
December 2014,360396000.0,32300000.0,5111935000.0,670096000.0
March 2015,483979000.0,57602000.0,5128348000.0,647714000.0
June 2015,269115000.0,15839000.0,5201162000.0,666105000.0
September 2015,291323000.0,15626000.0,5172366000.0,562667000.0
