,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,AssetsCurrent
March 2008,34800000.0,120150000.0,,
June 2008,34800000.0,120150000.0,,
September 2008,34800000.0,120150000.0,,
December 2008,34800000.0,120150000.0,,
March 2009,39900000.0,121900000.0,,
June 2009,42600000.0,128500000.0,,
September 2009,44700000.0,126100000.0,,
December 2009,48300000.0,132300000.0,1615500000.0,889200000.0
March 2010,45200000.0,134000000.0,,
June 2010,50600000.0,140600000.0,1641900000.0,918900000.0
September 2010,52700000.0,133000000.0,1725400000.0,992400000.0
December 2010,55900000.0,142400000.0,1767200000.0,1032600000.0
March 2011,59000000.0,150300000.0,1931100000.0,1150300000.0
June 2011,64900000.0,163200000.0,2002400000.0,1216800000.0
September 2011,61700000.0,165500000.0,1982900000.0,1181900000.0
December 2011,60700000.0,163400000.0,1980500000.0,1168500000.0
March 2012,68600000.0,177200000.0,2004200000.0,1188000000.0
June 2012,74000000.0,182400000.0,2075100000.0,1278800000.0
September 2012,73800000.0,167800000.0,2195800000.0,1387700000.0
December 2012,74900000.0,177900000.0,2221500000.0,1291900000.0
March 2013,79800000.0,185200000.0,2296600000.0,1360700000.0
June 2013,80500000.0,186600000.0,2339700000.0,1390600000.0
September 2013,84100000.0,180500000.0,2530600000.0,1570400000.0
December 2013,78600000.0,181100000.0,2724700000.0,1725800000.0
March 2014,85800000.0,197200000.0,2651700000.0,1603300000.0
June 2014,89100000.0,215500000.0,3326600000.0,2278100000.0
September 2014,87600000.0,222200000.0,3350000000.0,2309200000.0
December 2014,84000000.0,223100000.0,3524300000.0,2294600000.0
March 2015,86400000.0,202500000.0,3488400000.0,2254800000.0
June 2015,97500000.0,213900000.0,3608300000.0,2297000000.0
September 2015,101000000.0,212000000.0,3876600000.0,2145500000.0
December 2015,98200000.0,222300000.0,4056300000.0,2047900000.0
March 2016,102400000.0,212700000.0,3853800000.0,1819300000.0
June 2016,112500000.0,228800000.0,4051400000.0,1985100000.0
September 2016,113100000.0,229600000.0,4339000000.0,2171400000.0
December 2016,114200000.0,233600000.0,4510000000.0,2240000000.0
March 2017,128700000.0,229600000.0,4780400000.0,2018400000.0
June 2017,134400000.0,243800000.0,5138500000.0,2283400000.0
September 2017,142900000.0,244600000.0,5488400000.0,2566400000.0
December 2017,146600000.0,272800000.0,5695800000.0,2532100000.0
March 2018,143200000.0,256000000.0,5825100000.0,2716900000.0
June 2018,154100000.0,274900000.0,5686100000.0,2696000000.0
September 2018,161800000.0,269500000.0,5958200000.0,2912600000.0
December 2018,163100000.0,288100000.0,5323700000.0,2286900000.0
March 2019,171400000.0,280300000.0,5469300000.0,2368800000.0
June 2019,191900000.0,308500000.0,5573500000.0,2354700000.0
September 2019,195500000.0,306200000.0,5966300000.0,2739700000.0
December 2019,193900000.0,347200000.0,6488100000.0,2984000000.0
March 2020,187400000.0,307800000.0,6076100000.0,2507900000.0
June 2020,182100000.0,274900000.0,6424100000.0,2690300000.0
September 2020,195500000.0,307200000.0,6800800000.0,2980400000.0
December 2020,195700000.0,338500000.0,7237100000.0,3091000000.0
March 2021,207000000.0,330800000.0,7213700000.0,3069200000.0
June 2021,225300000.0,374500000.0,7662100000.0,3322900000.0
September 2021,238000000.0,364400000.0,8160300000.0,3515500000.0
December 2021,232800000.0,424000000.0,8502600000.0,3180700000.0
March 2022,228600000.0,370300000.0,8419900000.0,3241300000.0
June 2022,250800000.0,409000000.0,8425100000.0,3263100000.0
