,OperatingExpenses,Assets,AssetsCurrent
March 2009,32423250.0,,
June 2009,32423250.0,,
September 2009,32423250.0,,
December 2009,32423250.0,,
March 2010,30652000.0,,
June 2010,25831000.0,,
September 2010,28229000.0,,
December 2010,28139000.0,31351000.0,13893000.0
March 2011,25859000.0,,
June 2011,27543000.0,27044000.0,11413000.0
September 2011,26837000.0,25684000.0,10690000.0
December 2011,28480000.0,24705000.0,10465000.0
March 2012,25812000.0,21368000.0,7970000.0
June 2012,26239000.0,21220000.0,8481000.0
September 2012,25722000.0,31109000.0,18581000.0
December 2012,24682000.0,31193000.0,19627000.0
March 2013,24323000.0,26439000.0,15852000.0
June 2013,25547000.0,25075000.0,14871000.0
September 2013,23876000.0,21176000.0,10826000.0
December 2013,24108000.0,18603000.0,9293000.0
March 2014,21504000.0,14730000.0,5888000.0
June 2014,25257000.0,17426000.0,8813000.0
September 2014,23079000.0,16864000.0,8685000.0
December 2014,23708000.0,33431000.0,24796000.0
March 2015,21805000.0,27635000.0,17855000.0
June 2015,27855000.0,49692000.0,18470000.0
September 2015,27039000.0,44397000.0,12474000.0
December 2015,28707000.0,41261000.0,8780000.0
March 2016,24943000.0,33206000.0,7161000.0
June 2016,25739000.0,31243000.0,6910000.0
