,SellingGeneralAndAdministrativeExpense,Assets,AssetsCurrent
March 2010,12646000.0,,
June 2010,13634000.0,,
September 2010,13189000.0,,
December 2010,16032000.0,177995000.0,97736000.0
March 2011,16067000.0,,
June 2011,16752000.0,209890000.0,107532000.0
September 2011,16641000.0,210417000.0,106497000.0
December 2011,17727000.0,212915000.0,103259000.0
March 2012,16648000.0,221211000.0,112625000.0
June 2012,18621000.0,223920000.0,115451000.0
September 2012,18178000.0,154778000.0,116852000.0
December 2012,17237000.0,140320000.0,101922000.0
March 2013,,133315000.0,94231000.0
June 2013,,125279000.0,87234000.0
September 2013,,117487000.0,79908000.0
December 2013,,115367000.0,77247000.0
March 2014,,113330000.0,76167000.0
June 2014,,128411000.0,91792000.0
September 2014,,126851000.0,90973000.0
December 2014,,122467000.0,87346000.0
March 2015,,124911000.0,90350000.0
June 2015,,122704000.0,88473000.0
September 2015,,117532000.0,83754000.0
December 2015,,114627000.0,80840000.0
March 2016,,108919000.0,76535000.0
June 2016,,110191000.0,78103000.0
September 2016,,103717000.0,72454000.0
December 2016,,101737000.0,73013000.0
March 2017,,101652000.0,73267000.0
June 2017,,104516000.0,76573000.0
September 2017,,98465000.0,70782000.0
December 2017,,98030000.0,72306000.0
March 2018,,86014000.0,60545000.0
June 2018,,90331000.0,64950000.0
September 2018,,92092000.0,66813000.0
December 2018,,94216000.0,69007000.0
March 2019,,101939000.0,70891000.0
June 2019,,100677000.0,70377000.0
September 2019,,91009000.0,61810000.0
December 2019,,91543000.0,64184000.0
March 2020,,85581000.0,59368000.0
June 2020,,76188000.0,51611000.0
September 2020,,82659000.0,58902000.0
December 2020,,74737000.0,53478000.0
March 2021,,80858000.0,47100000.0
June 2021,,76187000.0,43719000.0
September 2021,,92043000.0,60631000.0
December 2021,,91230000.0,61233000.0
March 2022,,82087000.0,53388000.0
