,OperatingExpenses,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2010,881476.0,415608.5,27140.5,,,
June 2010,881476.0,415608.5,27140.5,,,
September 2010,998253.0,459842.0,69959.0,,,
December 2010,,931280.0,,1140964.0,1065565.0,62075.0
March 2011,901187.0,451982.5,-506572.5,,,
June 2011,901187.0,451982.5,-506572.5,,,
September 2011,1188070.0,445782.0,2479894.0,5107026.0,1051176.0,
December 2011,,1338416.0,-2796512.0,1435375.0,972407.0,428746.0
March 2012,,357891.0,-168020.0,1474372.0,,
June 2012,,530410.0,-344672.0,1209229.0,,
September 2012,,456766.0,-519228.0,982669.0,561876.0,386572.0
December 2012,,-1207867.0,-104635.0,903802.0,480493.0,
March 2013,498161.0,366239.0,-433790.0,859846.0,504621.0,
June 2013,498161.0,498595.0,-572878.0,907431.0,550953.0,
September 2013,498161.0,330109.0,-277395.0,935877.0,579180.0,
December 2013,498161.0,70118.0,-270599.0,871217.0,364740.0,
March 2014,172066.0,113532.0,-105726.0,988347.0,481870.0,
June 2014,144718.0,139118.0,-103105.0,,,
September 2014,163557.0,81479.0,23958.0,,,
December 2014,283085.0,297512.0,90540.0,219361.0,212461.0,
March 2015,231101.0,226301.0,-9655.0,486100.0,78057.0,
June 2015,78182.0,68592.0,275622.0,728044.0,320002.0,
September 2015,188632.0,30055.0,74536.0,295585.0,289712.0,
