,NetIncomeLoss,AssetsCurrent
March 2006,-11264.625,
June 2006,-11264.625,
September 2006,-11264.625,
December 2006,-11264.625,
March 2007,-11264.625,
June 2007,-11264.625,
September 2007,-11264.625,
December 2007,-11264.625,
March 2008,-11264.625,
June 2008,-11264.625,
September 2008,-11264.625,
December 2008,-11264.625,
March 2009,-11264.625,
June 2009,-11264.625,
September 2009,-11264.625,
December 2009,-6282.5,
March 2010,-6282.5,
June 2010,-9219.0,
September 2010,-11264.625,
December 2010,-4149.0,
March 2011,-4149.0,
June 2011,-3524.0,
