,OperatingExpenses,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
December 2002,67315.75862068965,3719.78125,0.0,,,
March 2003,67315.75862068965,3719.78125,-14408.25,,,
June 2003,67315.75862068965,3719.78125,-14408.25,,,
September 2003,67315.75862068965,3719.78125,-14408.25,,,
December 2003,67315.75862068965,3719.78125,-14408.25,,,
March 2004,67315.75862068965,3719.78125,-23557.25,,,
June 2004,67315.75862068965,3719.78125,-23557.25,,,
September 2004,67315.75862068965,3719.78125,-23557.25,,,
December 2004,67315.75862068965,3719.78125,-23557.25,,,
March 2005,67315.75862068965,3719.78125,-127808.25,,,
June 2005,67315.75862068965,3719.78125,-127808.25,,,
September 2005,67315.75862068965,3719.78125,-127808.25,,,
December 2005,67315.75862068965,3719.78125,-127808.25,,,
March 2006,67315.75862068965,3719.78125,-47753.5,,,
June 2006,67315.75862068965,3719.78125,-47753.5,,,
September 2006,67315.75862068965,3719.78125,-47753.5,,,
December 2006,67315.75862068965,3719.78125,-47753.5,,,
March 2007,67315.75862068965,3719.78125,-49217.75,,,
June 2007,67315.75862068965,3719.78125,-49217.75,,,
September 2007,67315.75862068965,3719.78125,-49217.75,,,
December 2007,67315.75862068965,3719.78125,-49217.75,,,
March 2008,67315.75862068965,3719.78125,-75679.33333333333,,,
June 2008,67315.75862068965,3719.78125,-75679.33333333333,,,
September 2008,67315.75862068965,3719.78125,-75679.33333333333,,,
December 2008,67315.75862068965,3719.78125,-139608.0,,,
March 2009,67315.75862068965,3719.78125,-139608.0,,,
June 2009,67315.75862068965,3719.78125,-139608.0,,,
September 2009,67315.75862068965,3719.78125,-139608.0,,,
December 2009,-12004.5,3719.78125,-111077.0,,,
March 2010,-12004.5,3719.78125,-111077.0,,,
June 2010,434624.0,3719.78125,-255743.0,,,
September 2010,67315.75862068965,3719.78125,-338902.0,,,
December 2010,127191.0,30.0,-148554.0,,,
March 2011,140643.0,0.0,81936.0,,,
June 2011,166790.0,7087.0,-189125.0,,,
September 2011,199856.0,12617.0,-231696.0,,,
December 2011,173318.0,17632.0,-199465.0,,,
March 2012,130464.0,12538.0,-160098.0,,,
June 2012,160509.0,43208.0,-190879.0,,,
September 2012,173479.0,44538.0,-208083.0,,,
December 2012,134960.0,19411.0,-175261.0,,,
March 2013,97836.0,3375.0,-138566.0,,,
June 2013,113226.0,5367.0,-156548.0,,,
September 2013,372722.0,2596.0,-419968.0,,,
December 2013,150293.0,10416.0,-199300.0,,,
March 2014,133965.0,9418.0,-184764.0,,,
June 2014,158158.0,19910.0,-211530.0,,,
September 2014,175338.0,7956.0,-232162.0,,,
December 2014,163917.0,23202.0,-223312.0,,,
March 2015,154512.0,1055.0,-217662.0,,,
June 2015,144171.0,28759.0,-210712.0,,,
September 2015,142593.0,7186.0,-211168.0,,,
December 2015,124058.0,35444.0,-190515.0,,,
March 2016,149705.0,17092.0,-215404.0,,,
June 2016,108306.0,21820.0,-173640.0,,,
September 2016,79260.0,-17056.0,-145178.0,,,
December 2016,88588.0,14299.0,-154113.0,,,
March 2017,116834.0,12977.0,-183335.0,,,
June 2017,86778.0,7839.0,-170009.0,,,
September 2017,111413.0,12938.0,-184143.0,,,
December 2017,139621.0,15770.0,-222543.0,,,
March 2018,128592.0,7956.0,-208819.0,,,
June 2018,136219.0,13166.0,-215838.0,,,
September 2018,229585.0,19620.0,-306120.0,,,
December 2018,169909.0,16979.0,-252523.0,,,
March 2019,148528.0,16043.0,-235679.0,,,
June 2019,125429.0,48081.0,-212876.0,,,
September 2019,164933.0,182536.0,-247742.0,,,
December 2019,127019.0,56780.0,-63789.0,,,
March 2020,120239.0,41305.0,-209652.0,,,
June 2020,116582.0,42773.0,-205225.0,,,
September 2020,154554.0,42101.0,-193334.0,,,
December 2020,125728.0,66806.0,-172044.0,,,
March 2021,113213.0,56647.0,-189089.0,,,
June 2021,111914.0,54633.0,-198713.0,,,
