,Assets
December 2010,25636900000.0
March 2011,
June 2011,26942800000.0
September 2011,27816700000.0
December 2011,28183300000.0
March 2012,28544700000.0
June 2012,28997900000.0
September 2012,29497700000.0
December 2012,29460900000.0
March 2013,29587800000.0
June 2013,29040400000.0
September 2013,29784600000.0
December 2013,30129500000.0
March 2014,31164300000.0
June 2014,31943600000.0
September 2014,32634500000.0
December 2014,33001700000.0
March 2015,33847900000.0
June 2015,34069100000.0
September 2015,34962800000.0
