,OperatingExpenses,ResearchAndDevelopmentExpense,Assets,AssetsCurrent,AssetsNoncurrent
December 2006,6351.181818181818,-0.09090909090909091,,,
March 2007,6351.181818181818,-0.09090909090909091,,,
June 2007,6351.181818181818,-0.09090909090909091,,,
September 2007,6351.181818181818,-0.09090909090909091,,,
December 2007,6351.181818181818,-0.09090909090909091,,,
March 2008,6351.181818181818,-0.09090909090909091,,,
June 2008,6351.181818181818,-0.09090909090909091,,,
September 2008,6351.181818181818,-0.09090909090909091,,,
December 2008,6351.181818181818,-0.09090909090909091,,,
March 2009,6351.181818181818,-0.09090909090909091,,,
June 2009,6351.181818181818,-0.09090909090909091,,,
September 2009,437629.0,41890.0,,,
December 2009,437629.0,41890.0,,,
March 2010,437629.0,41890.0,,,
June 2010,437629.0,41890.0,10599.0,9172.0,1427.0
September 2010,208361.0,35.0,,,
December 2010,251854.0,72.0,,,
March 2011,224418.0,0.0,,,
June 2011,496299.0,0.0,1258.0,1258.0,
September 2011,166994.0,2.9103830456733704e-11,957.0,957.0,
December 2011,146733.0,0.0,943.0,943.0,
March 2012,140896.0,0.0,32.0,32.0,
June 2012,203092.0,0.0,27.0,27.0,
September 2012,129799.0,0.0,,,
December 2012,63307.0,0.0,15302.0,15302.0,
March 2013,77126.0,0.0,5506.0,5506.0,
