,OperatingExpenses,AssetsCurrent
December 2007,4291.142857142857,
March 2008,4291.142857142857,
June 2008,4291.142857142857,
September 2008,4291.142857142857,
December 2008,4291.142857142857,
March 2009,4291.142857142857,
June 2009,4291.142857142857,
September 2009,4291.142857142857,
December 2009,4291.142857142857,
March 2010,4291.142857142857,
June 2010,4291.142857142857,
September 2010,4291.142857142857,
December 2010,4291.142857142857,
March 2011,4291.142857142857,
June 2011,4291.142857142857,
September 2011,4291.142857142857,
December 2011,4291.142857142857,
March 2012,4291.142857142857,
June 2012,4291.142857142857,
September 2012,4291.142857142857,127.0
December 2012,4891.0,127.0
March 2013,4521.0,157.0
June 2013,4946.0,159.0
September 2013,4291.142857142857,183.0
December 2013,2816.0,
March 2014,5847.0,8.0
June 2014,5502.0,45.0
