,OperatingExpenses,NetIncomeLoss
December 2007,8928.90909090909,-8928.90909090909
March 2008,8928.90909090909,-8928.90909090909
June 2008,8928.90909090909,-8928.90909090909
September 2008,8928.90909090909,-8928.90909090909
December 2008,8928.90909090909,-8928.90909090909
March 2009,8928.90909090909,-8928.90909090909
June 2009,8928.90909090909,-8928.90909090909
September 2009,8928.90909090909,-8928.90909090909
December 2009,8928.90909090909,-8928.90909090909
March 2010,8714.0,-8714.0
June 2010,12668.0,-12668.0
September 2010,8928.90909090909,-8928.90909090909
December 2010,8928.90909090909,-8928.90909090909
March 2011,8542.0,-8542.0
June 2011,14652.0,-14652.0
