,SellingGeneralAndAdministrativeExpense,Assets,AssetsCurrent,AssetsNoncurrent
March 2009,3298250.0,,,
June 2009,3298250.0,,,
September 2009,3298250.0,,,
December 2009,3298250.0,,,
March 2010,3328000.0,,,
June 2010,3675000.0,,,
September 2010,3259000.0,,,
December 2010,4066000.0,196566000.0,35542000.0,
March 2011,3299000.0,,,
June 2011,3725000.0,204056000.0,48194000.0,
September 2011,4161000.0,210100000.0,51906000.0,
December 2011,3084000.0,206344000.0,47370000.0,
March 2012,4589000.0,203036000.0,39810000.0,
June 2012,4079000.0,205371000.0,40532000.0,
September 2012,4516000.0,215792000.0,50141000.0,
December 2012,5574000.0,217786000.0,51163000.0,
March 2013,4606000.0,226601000.0,55920000.0,
June 2013,4235000.0,228091000.0,54244000.0,
September 2013,4473000.0,229052000.0,51556000.0,
December 2013,4153000.0,225109000.0,48979000.0,176130000.0
March 2014,4094000.0,223631000.0,46463000.0,
June 2014,5008000.0,226807000.0,49100000.0,
September 2014,10163000.0,1187610000.0,190615000.0,
December 2014,12835000.0,1233661000.0,231666000.0,1001995000.0
March 2015,11249000.0,1234509000.0,216745000.0,1017764000.0
June 2015,10554000.0,1223399000.0,208489000.0,1014910000.0
September 2015,10469000.0,1168419000.0,154927000.0,1013492000.0
December 2015,11207000.0,966627000.0,126200000.0,854250000.0
March 2016,10230000.0,834100000.0,105334000.0,728766000.0
June 2016,8183000.0,822725000.0,108707000.0,714018000.0
September 2016,9279000.0,801503000.0,101358000.0,700145000.0
December 2016,8530000.0,786140000.0,102004000.0,684136000.0
March 2017,8766000.0,762497000.0,90394000.0,672103000.0
June 2017,8230000.0,757418000.0,95218000.0,662200000.0
September 2017,8682000.0,745942000.0,99571000.0,646371000.0
December 2017,7760000.0,742932000.0,102147000.0,640785000.0
March 2018,8297000.0,853941000.0,210686000.0,643255000.0
June 2018,10849000.0,839513000.0,185467000.0,654046000.0
September 2018,10592000.0,844223000.0,176979000.0,667244000.0
December 2018,4518000.0,826744000.0,151747000.0,674997000.0
March 2019,10665000.0,849869000.0,156521000.0,693348000.0
June 2019,10974000.0,836192000.0,145611000.0,690581000.0
September 2019,11336000.0,849929000.0,152700000.0,697229000.0
December 2019,10125000.0,822246000.0,127293000.0,694953000.0
March 2020,10256000.0,834302000.0,147631000.0,
June 2020,9241000.0,769738000.0,102912000.0,
September 2020,9150000.0,750805000.0,113504000.0,
December 2020,5648000.0,709966000.0,96825000.0,613141000.0
March 2021,9594000.0,708184000.0,109296000.0,
June 2021,9116000.0,685006000.0,100453000.0,
September 2021,9433000.0,683723000.0,109833000.0,
December 2021,15156000.0,722361000.0,100779000.0,
March 2022,10841000.0,739663000.0,126895000.0,
June 2022,10911000.0,736318000.0,134593000.0,
