,OperatingExpenses,Assets
March 2010,1596000.0,
June 2010,1689000.0,
September 2010,1666000.0,
December 2010,1636000.0,64398000.0
March 2011,1680000.0,
June 2011,1715000.0,62673000.0
September 2011,1729000.0,62101000.0
December 2011,1685000.0,61566000.0
March 2012,2300000.0,69822000.0
June 2012,2718000.0,69397000.0
September 2012,2566000.0,68493000.0
December 2012,2460000.0,67428000.0
March 2013,2557000.0,66357000.0
June 2013,2302000.0,66255000.0
September 2013,2442000.0,65909000.0
December 2013,2538000.0,65419000.0
March 2014,2765000.0,63893000.0
June 2014,2520000.0,63704000.0
September 2014,2593000.0,63480000.0
December 2014,2434000.0,62750000.0
March 2015,2368000.0,47631000.0
June 2015,2066000.0,47333000.0
September 2015,2147000.0,47192000.0
December 2015,1947000.0,38149000.0
March 2016,1950000.0,36688000.0
June 2016,1721000.0,36591000.0
September 2016,1578000.0,38652000.0
December 2016,308000.0,1750000.0
March 2017,105000.0,634000.0
