,OperatingExpenses,NetIncomeLoss,AssetsCurrent
March 2009,,-4632.25,
June 2009,6176.666666666667,-4632.25,
September 2009,6176.666666666667,-4632.25,
December 2009,6176.666666666667,-4632.25,
March 2010,26394.0,-24431.0,
June 2010,22468.0,-24431.0,
September 2010,22469.0,-22469.0,
December 2010,5895.0,-5895.0,8295.0
March 2011,9433.0,-9433.0,
June 2011,5550.0,-5551.0,75.0
September 2011,7534.0,-7534.0,75.0
December 2011,7507.0,-7506.0,243.0
March 2012,7100.0,-7100.0,243.0
June 2012,3542.0,-3543.0,361.0
September 2012,70278.0,-70278.0,361.0
