,OperatingExpenses,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2010,720.0,,1232.0,,
June 2010,720.0,,1232.0,,
September 2010,6129.0,,-4629.0,,
December 2010,7201.0,,-5701.0,7934.0,7934.0
March 2011,1600.0,,-1200.0,,
June 2011,1600.0,,0.0,,
September 2011,2120.0,,1290.0,8114.0,8114.0
December 2011,6159.0,,-4751.0,12455.0,12455.0
March 2012,3329.0,,-1922.0,10626.0,10626.0
June 2012,199.0,,3711.0,14427.0,14427.0
September 2012,359.0,,1051.0,15568.0,15568.0
December 2012,12619.0,,-12227.0,4949.0,4949.0
March 2013,4082.0,,-2882.0,567.0,
June 2013,6820.0,,-5820.0,1512.0,1512.0
September 2013,3275.0,,-1775.0,2967.0,2967.0
December 2013,4132.0,,-2632.0,4422.0,4422.0
March 2014,2417.0,232032.0,-82481.0,5877.0,5877.0
June 2014,5067.0,277359.0,-3567.0,7332.0,7332.0
September 2014,2878.0,667263.0,-1173255.0,8787.0,8787.0
December 2014,2432728.0,157198.0,-620031.0,413971.0,336049.0
March 2015,1240922.0,435671.0,-1246673.0,6425636.0,6325007.0
June 2015,2434612.0,609823.0,-1501618.0,9549264.0,9434720.0
September 2015,1182845.0,768301.0,-1177312.0,8428315.0,8329893.0
December 2015,1066482.0,593686.0,1212737.0,7238415.0,7151312.0
March 2016,1949031.0,-574256.0,-1004092.0,6236746.0,6159996.0
June 2016,2033013.0,417790.0,-2322772.0,31375940.0,3360625.0
September 2016,1807323.0,813773.0,729546.0,30348852.0,2263879.0
December 2016,1609954.0,571671.0,-811418.0,29316021.0,1223297.0
March 2017,3379191.0,859912.0,-5664758.0,28968900.0,1402580.0
June 2017,2127589.0,685909.0,-2245322.0,28892739.0,1428320.0
September 2017,3593308.0,715400.0,-3610555.0,27958630.0,593434.0
December 2017,2347916.0,546350.0,2580759.0,29039041.0,1772065.0
March 2018,2285219.0,877541.0,6189154.0,28584991.0,1410036.0
June 2018,2882941.0,676743.0,-760698.0,29083815.0,1989664.0
September 2018,2563120.0,679049.0,5504501.0,28900239.0,1886233.0
December 2018,2593663.0,779283.0,-2384163.0,31022947.0,4081793.0
March 2019,3063528.0,1039817.0,-3428635.0,30677796.0,3749271.0
June 2019,2622989.0,816523.0,-2120644.0,30230939.0,3352896.0
September 2019,3405365.0,886060.0,-3382684.0,35234389.0,8404380.0
December 2019,3133852.0,1021418.0,-2969949.0,32113942.0,5376295.0
March 2020,3261885.0,1165460.0,-16543220.0,18516620.0,5826568.0
June 2020,2153889.0,353263.0,-2007076.0,18713745.0,6065309.0
September 2020,1765741.0,410507.0,-1627622.0,17197825.0,4589012.0
December 2020,9039460.0,449580.0,-8950881.0,8976520.0,3588185.0
March 2021,1302033.0,278397.0,-1034878.0,8786085.0,3432973.0
June 2021,1342662.0,180967.0,-450912.0,8676686.0,3368938.0
September 2021,1188565.0,85085.0,-1267989.0,12462094.0,7184269.0
December 2021,6861303.0,368095.0,-6983845.0,5980101.0,5921058.0
March 2022,1533927.0,364369.0,-1705248.0,4675837.0,4584603.0
June 2022,1540948.0,378105.0,-1384134.0,4002988.0,3923099.0
