,NetIncomeLoss,Assets,AssetsNoncurrent
March 2009,-4789750.0,,
June 2009,-4789750.0,,
September 2009,-4789750.0,,
December 2009,-4789750.0,,
March 2010,-4789750.0,,
June 2010,-4789750.0,,
September 2010,-4789750.0,,
December 2010,-4789750.0,680751000.0,
March 2011,-6719000.0,,
June 2011,2539000.0,,
September 2011,37601000.0,,
December 2011,-23118000.0,833219000.0,656393000.0
March 2012,-9575000.0,882480000.0,
June 2012,46611000.0,979759000.0,764882000.0
September 2012,-11645000.0,962247000.0,789237000.0
December 2012,-11748000.0,993008000.0,796417000.0
March 2013,2273000.0,1053803000.0,784822000.0
