,ResearchAndDevelopmentExpense,Assets,AssetsCurrent
March 2011,0.0,,
June 2011,0.0,,
September 2011,0.0,,
December 2011,0.0,741498000.0,113638000.0
March 2012,2909250.0,726603000.0,104115000.0
June 2012,2909250.0,,
September 2012,2909250.0,792639000.0,163842000.0
December 2012,2909250.0,798079000.0,170458000.0
March 2013,479250.0,839683000.0,202231000.0
June 2013,479250.0,766542000.0,131133000.0
September 2013,479250.0,800777000.0,162275000.0
December 2013,479250.0,769945000.0,123558000.0
March 2014,,756525000.0,113623000.0
