,OperatingExpenses,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets
March 2012,42901250.0,5240750.0,,
June 2012,42901250.0,5240750.0,,
September 2012,42901250.0,5240750.0,,
December 2012,42901250.0,5240750.0,,975674000.0
March 2013,50839666.666666664,7866666.666666667,,
June 2013,50839666.666666664,7866666.666666667,,
September 2013,50839666.666666664,7866666.666666667,,1033918000.0
December 2013,105428000.0,15254000.0,30731000.0,2476061000.0
March 2014,114738000.0,8675000.0,4369000.0,2450416000.0
June 2014,114523000.0,12189000.0,9834000.0,2476625000.0
September 2014,126029000.0,10071000.0,8322000.0,3302016000.0
December 2014,138715000.0,8102000.0,4142000.0,3296495000.0
March 2015,128125000.0,9100000.0,3138000.0,3272988000.0
June 2015,119734000.0,9113000.0,11120000.0,3293964000.0
September 2015,130436000.0,10182000.0,11220000.0,3308767000.0
December 2015,127970000.0,9678000.0,8252000.0,3300650000.0
March 2016,122960000.0,10918000.0,7428000.0,3263371000.0
June 2016,121623000.0,12907000.0,11089000.0,3301654000.0
September 2016,122262000.0,11798000.0,15973000.0,3882569000.0
December 2016,126612000.0,13455000.0,16966000.0,3890953000.0
March 2017,128288000.0,11088000.0,9985000.0,3866176000.0
June 2017,125690000.0,12579000.0,16584000.0,3831201000.0
September 2017,130539000.0,12899000.0,18806000.0,3848934000.0
December 2017,132106000.0,13749000.0,17272000.0,3931347000.0
March 2018,133107000.0,12628000.0,9768000.0,4141813000.0
June 2018,128864000.0,13225000.0,16651000.0,4162905000.0
September 2018,137864000.0,13148000.0,16342000.0,4166832000.0
December 2018,140819000.0,13673000.0,22842000.0,4195780000.0
March 2019,141217000.0,14026000.0,5677000.0,4192440000.0
June 2019,140005000.0,15998000.0,11087000.0,4155575000.0
September 2019,147594000.0,14421000.0,15882000.0,3925317000.0
December 2019,147821000.0,16618000.0,16799000.0,3931834000.0
March 2020,143251000.0,15951000.0,4495000.0,4664558000.0
June 2020,140696000.0,18149000.0,-12793000.0,4550395000.0
September 2020,134647000.0,14517000.0,-8204000.0,4010714000.0
December 2020,131973000.0,13627000.0,-210000.0,4150695000.0
March 2021,126955000.0,13853000.0,,4151523000.0
June 2021,126924000.0,14089000.0,,4123472000.0
September 2021,151845000.0,14427000.0,,4112163000.0
December 2021,139237000.0,13578000.0,,4282447000.0
March 2022,157986000.0,13686000.0,,4243330000.0
June 2022,151523000.0,15876000.0,,4217231000.0
