,OperatingExpenses
March 2012,6001750.0
June 2012,6001750.0
September 2012,6001750.0
December 2012,6001750.0
March 2013,7158750.0
June 2013,7158750.0
September 2013,7158750.0
December 2013,7158750.0
March 2014,4874500.0
June 2014,4874500.0
September 2014,4874500.0
December 2014,4874500.0
March 2015,2221500.0
June 2015,2221500.0
September 2015,2221500.0
December 2015,2221500.0
March 2016,1688250.0
June 2016,1688250.0
September 2016,1688250.0
December 2016,1688250.0
March 2017,1747500.0
June 2017,1747500.0
September 2017,1747500.0
December 2017,1747500.0
March 2018,1459000.0
June 2018,1459000.0
September 2018,1459000.0
December 2018,1459000.0
