,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2010,110574000.0,8264000.0,,
June 2010,110574000.0,8264000.0,,
September 2010,110574000.0,8264000.0,,
December 2010,110574000.0,8264000.0,,
March 2011,110298000.0,7414000.0,,
June 2011,118278000.0,10925000.0,,
September 2011,106997000.0,6813000.0,,
December 2011,123062000.0,7904000.0,,
March 2012,121904000.0,20593000.0,,
June 2012,124072000.0,21067000.0,,
September 2012,122054000.0,8761000.0,791699000.0,
December 2012,136370000.0,9659000.0,,
March 2013,127188000.0,14997000.0,,
June 2013,130928000.0,9135000.0,,
September 2013,121698000.0,7695000.0,,
December 2013,126816000.0,3723000.0,,
March 2014,135279000.0,3679000.0,,
June 2014,139226000.0,3360000.0,,
September 2014,139766000.0,-171210000.0,,
December 2014,132365000.0,-4634000.0,,
March 2015,117992000.0,2150000.0,,
June 2015,136223000.0,10642000.0,,
September 2015,109158000.0,-3818000.0,,
December 2015,146089000.0,-22605000.0,,
March 2016,117992000.0,-3570000.0,,
June 2016,118808000.0,10642000.0,,
September 2016,109158000.0,-93197000.0,,
December 2016,112828000.0,-45794000.0,,
March 2017,110881000.0,-21434000.0,,
June 2017,115208000.0,-29446000.0,,
September 2017,93101000.0,-10933000.0,,
December 2017,100377000.0,-33244000.0,,
March 2018,90479000.0,-9369000.0,,
June 2018,94005000.0,-9326000.0,,
September 2018,85376000.0,-4500000.0,,
December 2018,79222000.0,-30269000.0,,
March 2019,67543000.0,-12054000.0,,
June 2019,46633000.0,-11006000.0,,
