,OperatingExpenses,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2012,864801750.0,-382507250.0,,,
June 2012,864801750.0,-382507250.0,,,
September 2012,864801750.0,-382507250.0,,,
December 2012,864801750.0,-382507250.0,,,
March 2013,275382500.0,-58229000.0,,,
June 2013,275382500.0,83044000.0,,,
September 2013,238580000.0,6657000.0,,,
December 2013,2011518000.0,-1136846000.0,7437686000.0,220352000.0,176402000.0
March 2014,231791000.0,-1022000.0,,,
June 2014,562252000.0,-207822000.0,7355882000.0,283181000.0,145953000.0
September 2014,723646000.0,-261813000.0,6894058000.0,235358000.0,141457000.0
December 2014,1777444000.0,-949924000.0,5608312000.0,336581000.0,
March 2015,900147000.0,-490331000.0,5085141000.0,465800000.0,
