,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
December 2012,,8293000000.0,1403000000.0,539000000.0
March 2013,-106000000.0,8499000000.0,428000000.0,434000000.0
June 2013,209000000.0,9174000000.0,1636000000.0,469000000.0
September 2013,348000000.0,7945000000.0,482000000.0,190000000.0
December 2013,98000000.0,8326000000.0,495000000.0,215000000.0
March 2014,-36000000.0,8545000000.0,500000000.0,163000000.0
June 2014,-191000000.0,8793000000.0,470000000.0,111000000.0
September 2014,495000000.0,9007000000.0,396000000.0,150000000.0
December 2014,-120000000.0,10129000000.0,1077000000.0,324000000.0
March 2015,19000000.0,10309000000.0,1018000000.0,376000000.0
June 2015,-210000000.0,10086000000.0,820000000.0,250000000.0
September 2015,174000000.0,10348000000.0,957000000.0,267000000.0
December 2015,-3195000000.0,5828000000.0,964000000.0,109000000.0
March 2016,94000000.0,5669000000.0,1120000000.0,91000000.0
June 2016,62000000.0,4999000000.0,486000000.0,59000000.0
September 2016,-37000000.0,4932000000.0,406000000.0,38000000.0
December 2016,-140000000.0,4757000000.0,244000000.0,15000000.0
March 2017,-47000000.0,4851000000.0,301000000.0,22000000.0
June 2017,-8000000.0,4883000000.0,315000000.0,37000000.0
September 2017,-74000000.0,4865000000.0,275000000.0,22000000.0
December 2017,-74000000.0,4891000000.0,457000000.0,12000000.0
March 2018,18000000.0,4984000000.0,232000000.0,11000000.0
June 2018,-58000000.0,5169000000.0,324000000.0,13000000.0
September 2018,-44000000.0,5239000000.0,315000000.0,11000000.0
December 2018,-919000000.0,4181000000.0,385000000.0,22000000.0
March 2019,-140000000.0,4101000000.0,234000000.0,33000000.0
June 2019,-50000000.0,4190000000.0,261000000.0,41000000.0
September 2019,-620000000.0,3962000000.0,452000000.0,34000000.0
December 2019,-133000000.0,3710000000.0,254000000.0,21000000.0
