,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2019,244173750.0,-168584750.0,,
June 2019,244173750.0,-168584750.0,,
September 2019,244173750.0,-168584750.0,,
December 2019,244173750.0,-168584750.0,,
March 2020,258819000.0,-340605000.0,,
June 2020,217938000.0,-575588000.0,,
September 2020,213920000.0,219328000.0,,
December 2020,2062195000.0,-3887851000.0,10491499000.0,8916386000.0
March 2021,363061000.0,-1172211000.0,12339077000.0,10926641000.0
June 2021,349734000.0,-68217000.0,15484810000.0,14095982000.0
September 2021,344410000.0,833893000.0,13582003000.0,12220917000.0
December 2021,367843000.0,54501000.0,13708474000.0,12386380000.0
March 2022,362927000.0,-18792000.0,17068442000.0,15761447000.0
June 2022,375050000.0,378841000.0,19059126000.0,17825649000.0
