,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,AssetsCurrent
December 2011,11193.75,0.0,
March 2012,11193.75,0.0,
June 2012,11193.75,0.0,
September 2012,11193.75,-489775.0,
December 2012,20395.0,-20395.0,
March 2013,6063.0,-6063.0,
June 2013,29371.0,-29371.0,
September 2013,8813.0,-8813.0,
December 2013,8618.0,-8618.0,
March 2014,12638.0,-12638.0,
June 2014,3954.0,-3954.0,
September 2014,4563.0,-4563.0,
December 2014,8580.0,-8580.0,
March 2015,14609.0,-14609.0,
June 2015,6417.0,-6417.0,
September 2015,8852.0,-8852.0,
December 2015,11411.0,-11411.0,
March 2016,8712.0,-8712.0,
June 2016,10139.0,-10139.0,
