,OperatingExpenses,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2015,1152000.0,730250.0,,-1152000.0,,,
June 2015,1152000.0,730250.0,,-1152000.0,,,
September 2015,1152000.0,730250.0,,-1152000.0,,,
December 2015,1152000.0,730250.0,,-1152000.0,,,
March 2016,2297000.0,2813750.0,,-2272000.0,,,
June 2016,3636000.0,2813750.0,,-3562000.0,,,
September 2016,3699000.0,2813750.0,,-3398000.0,,,
December 2016,5374000.0,2813750.0,,-4836000.0,42053000.0,31540000.0,
March 2017,6004000.0,4992000.0,,-5474000.0,,,
June 2017,6674000.0,5460000.0,,-6153000.0,,,
September 2017,9244000.0,8008000.0,,-8172000.0,,,
December 2017,12252000.0,10547000.0,,-9277000.0,66867000.0,63861000.0,
March 2018,13717000.0,11020000.0,3503250.0,-12657000.0,180479000.0,159658000.0,
June 2018,19316000.0,16226000.0,3503250.0,-8347000.0,166916000.0,156163000.0,
September 2018,13702000.0,10667000.0,3503250.0,-12847000.0,154958000.0,154468000.0,
December 2018,18440000.0,15076000.0,3503250.0,-17594000.0,139928000.0,139500000.0,
March 2019,19669000.0,10848000.0,5344000.0,-18873000.0,126258000.0,125222000.0,
June 2019,17216000.0,13457000.0,6803000.0,-18993000.0,114384000.0,113127000.0,
September 2019,17426000.0,12622000.0,10747000.0,-16855000.0,96576000.0,93429000.0,
December 2019,21931000.0,16834000.0,22220000.0,-21498000.0,81159000.0,76414000.0,4745000.0
March 2020,,15953000.0,25415000.0,-40233000.0,160533000.0,98441000.0,62092000.0
June 2020,,13119000.0,26459000.0,-167440000.0,130842000.0,119290000.0,11552000.0
September 2020,,6623000.0,19766000.0,-24714000.0,107683000.0,98162000.0,9521000.0
December 2020,,7838000.0,17903000.0,-23181000.0,93742000.0,87259000.0,6483000.0
March 2021,,6333000.0,16616000.0,-20550000.0,149171000.0,143117000.0,
June 2021,,6409000.0,15835000.0,-19924000.0,133983000.0,128426000.0,
September 2021,,6981000.0,13832000.0,-21285000.0,81315000.0,76129000.0,
December 2021,,5235000.0,8198000.0,-11570000.0,67046000.0,63186000.0,3860000.0
March 2022,,4452000.0,4417000.0,4670000.0,64319000.0,60654000.0,
June 2022,,4108000.0,4305000.0,-8476000.0,55192000.0,51920000.0,
