,SellingGeneralAndAdministrativeExpense,Assets
December 2011,30975000.0,
March 2012,30975000.0,
June 2012,30975000.0,
September 2012,30975000.0,
December 2012,26914000.0,
March 2013,23400000.0,
June 2013,25600000.0,
September 2013,34086000.0,22402800000.0
December 2013,26000000.0,22945657000.0
March 2014,32000000.0,23382400000.0
June 2014,23000000.0,23865200000.0
September 2014,21000000.0,24152700000.0
December 2014,29000000.0,24751600000.0
March 2015,28000000.0,25195000000.0
June 2015,26000000.0,25159000000.0
September 2015,30000000.0,24925000000.0
December 2015,28000000.0,25031000000.0
March 2016,27000000.0,25499000000.0
June 2016,28000000.0,26338000000.0
September 2016,36000000.0,27035000000.0
December 2016,28000000.0,26952000000.0
March 2017,33000000.0,27897000000.0
June 2017,40000000.0,28402000000.0
September 2017,36000000.0,28965000000.0
