,Assets,AssetsCurrent,AssetsNoncurrent
March 2013,,,
June 2013,,,
September 2013,729815000.0,55132000.0,24034000.0
December 2013,736719000.0,51217000.0,22873000.0
March 2014,747807000.0,48764000.0,21657000.0
June 2014,746124000.0,33634000.0,19498000.0
September 2014,761545000.0,44323000.0,18548000.0
December 2014,609333000.0,86957000.0,45476000.0
March 2015,600407000.0,76568000.0,41915000.0
June 2015,602976000.0,238894000.0,
September 2015,407241000.0,229065000.0,
December 2015,295408000.0,235995000.0,
