,OperatingExpenses,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,AssetsCurrent,AssetsNoncurrent
March 2014,15211250.0,10943000.0,4268250.0,,,
June 2014,15211250.0,10943000.0,4268250.0,,,
September 2014,15211250.0,10943000.0,4268250.0,,,
December 2014,15211250.0,10943000.0,4268250.0,,,
March 2015,20627000.0,14781250.0,5845750.0,,,
June 2015,20627000.0,14781250.0,5845750.0,,,
September 2015,20627000.0,14781250.0,5845750.0,,,
December 2015,20627000.0,14781250.0,5845750.0,262663000.0,228113000.0,34550000.0
March 2016,24004000.0,16706000.0,7298000.0,,,
June 2016,27055000.0,19221000.0,7834000.0,,,
September 2016,21717000.0,16604000.0,5113000.0,,,
December 2016,25733000.0,19979000.0,5754000.0,190265000.0,143946000.0,46319000.0
March 2017,23352000.0,16994000.0,6358000.0,169635000.0,123729000.0,45906000.0
June 2017,22276000.0,16866000.0,5410000.0,157965000.0,111425000.0,46540000.0
September 2017,25687000.0,20103000.0,5584000.0,138986000.0,92315000.0,46671000.0
December 2017,25492000.0,18209000.0,7283000.0,209644000.0,162783000.0,46861000.0
March 2018,23359000.0,17058000.0,6301000.0,192238000.0,145470000.0,46768000.0
June 2018,24389000.0,18493000.0,5896000.0,308539000.0,262706000.0,45833000.0
September 2018,26439000.0,20541000.0,5898000.0,281060000.0,242080000.0,38980000.0
December 2018,25927000.0,18717000.0,7210000.0,273906000.0,236576000.0,37330000.0
March 2019,28604000.0,20537000.0,8067000.0,268994000.0,213195000.0,55799000.0
June 2019,,24154000.0,7870000.0,253078000.0,188541000.0,64537000.0
September 2019,,23554000.0,8929000.0,471592000.0,407642000.0,63950000.0
December 2019,,26492000.0,8678000.0,448630000.0,384206000.0,64424000.0
March 2020,,26013000.0,9072000.0,414243000.0,349601000.0,64642000.0
June 2020,,28401000.0,11511000.0,385341000.0,319635000.0,65706000.0
September 2020,,36302000.0,10789000.0,350507000.0,287380000.0,63127000.0
December 2020,,31684000.0,11208000.0,340395000.0,258911000.0,81484000.0
March 2021,,32656000.0,12375000.0,363853000.0,282330000.0,81523000.0
June 2021,,32747000.0,17299000.0,784264000.0,694224000.0,90040000.0
September 2021,,36432000.0,12023000.0,774625000.0,593764000.0,180861000.0
December 2021,,41713000.0,14593000.0,809180000.0,628239000.0,180941000.0
March 2022,,45003000.0,10987000.0,757150000.0,578212000.0,178938000.0
June 2022,,46192000.0,12491000.0,701211000.0,523299000.0,177912000.0
