,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2012,198323500.0,-152839000.0,,
June 2012,198323500.0,-152839000.0,,
September 2012,198323500.0,-152839000.0,,
December 2012,198323500.0,-152839000.0,,
March 2013,199829000.0,-15764000.0,,
June 2013,212364000.0,-116862000.0,,
September 2013,208033000.0,5372000.0,,
December 2013,-190936000.0,26760000.0,4755708000.0,882827000.0
March 2014,198877000.0,-2843000.0,4750408000.0,901943000.0
June 2014,205152000.0,-10897000.0,4715705000.0,839200000.0
September 2014,169183000.0,36563000.0,4672394000.0,759020000.0
December 2014,-105060000.0,46400000.0,4643073000.0,695882000.0
March 2015,122358000.0,207494000.0,4967480000.0,1136625000.0
June 2015,123360000.0,32207000.0,5051578000.0,1196640000.0
September 2015,166324000.0,176340000.0,5331720000.0,789946000.0
December 2015,145035000.0,129441000.0,5393627000.0,778088000.0
March 2016,133856000.0,60640500.0,5559123000.0,661362000.0
June 2016,146886000.0,60640500.0,5547422000.0,629256000.0
September 2016,155182000.0,60640500.0,5747186000.0,882656000.0
December 2016,190229000.0,60640500.0,5724570000.0,853381000.0
March 2017,144441000.0,60632750.0,5789999000.0,910428000.0
June 2017,146856000.0,60632750.0,5689878000.0,927078000.0
September 2017,91840000.0,60632750.0,5666488000.0,946892000.0
December 2017,126938000.0,60632750.0,5649364000.0,960692000.0
March 2018,130111000.0,87880000.0,5784552000.0,1093055000.0
June 2018,123784000.0,92246000.0,5783283000.0,1095245000.0
September 2018,130152000.0,73005000.0,5868482000.0,1204289000.0
December 2018,129479000.0,84400000.0,5806381000.0,1187630000.0
March 2019,151391000.0,56850000.0,5859563000.0,1241291000.0
June 2019,154705000.0,27838000.0,5770071000.0,1152579000.0
September 2019,128791000.0,63813000.0,5720734000.0,1195948000.0
December 2019,141681000.0,10091000.0,5689957000.0,1121920000.0
March 2020,198873000.0,-212680000.0,5709858000.0,1195619000.0
June 2020,116563000.0,-444131000.0,6129206000.0,1736459000.0
September 2020,119626000.0,-310218000.0,6415497000.0,2088247000.0
December 2020,151344000.0,-315310000.0,6077722000.0,1888105000.0
March 2021,130613000.0,-260678000.0,5827838000.0,1732835000.0
June 2021,159000000.0,-245854000.0,5608449000.0,1599226000.0
September 2021,157234000.0,-235241000.0,5442908000.0,1512285000.0
December 2021,163231000.0,-186696000.0,5291330000.0,1402274000.0
March 2022,167678000.0,47406000.0,5314479000.0,1678425000.0
June 2022,176308000.0,-187387000.0,5176736000.0,1586382000.0
