,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2013,2887500.0,7903500.0,-9277500.0,,
June 2013,2887500.0,7903500.0,-9277500.0,,
September 2013,2887500.0,7903500.0,-9277500.0,,
December 2013,2887500.0,7903500.0,-9277500.0,,
March 2014,4298000.0,14379000.0,-9616000.0,,
June 2014,4122000.0,13905000.0,-514000.0,,
September 2014,4372000.0,16303000.0,3724000.0,,
December 2014,4500000.0,18349000.0,1254000.0,123623000.0,106477000.0
March 2015,5630000.0,23239000.0,-10004000.0,,
June 2015,6741000.0,28086000.0,-19681000.0,106752000.0,85831000.0
September 2015,7336000.0,27870000.0,-17630000.0,262367000.0,246293000.0
December 2015,8004000.0,30442000.0,-22960000.0,265240000.0,250726000.0
March 2016,8759000.0,30408000.0,-8685000.0,265748000.0,248625000.0
June 2016,10299000.0,33227000.0,-23156000.0,261267000.0,237175000.0
September 2016,11345000.0,34938000.0,-26017000.0,242385000.0,212278000.0
December 2016,11459000.0,37553000.0,-37907000.0,210680000.0,174115000.0
March 2017,12650000.0,37582000.0,-35961000.0,176024000.0,140161000.0
June 2017,11786000.0,34309000.0,-29066000.0,158425000.0,123104000.0
September 2017,12609000.0,34478000.0,-27865000.0,204056000.0,169240000.0
December 2017,13019000.0,48937000.0,-45502000.0,178776000.0,144788000.0
March 2018,14340000.0,37925000.0,-32873000.0,218655000.0,187523000.0
June 2018,11852000.0,37440000.0,-33824000.0,194361000.0,165370000.0
September 2018,12393000.0,38374000.0,-29616000.0,277309000.0,248688000.0
December 2018,12770000.0,41133000.0,-31841000.0,268171000.0,240518000.0
March 2019,11435000.0,43832000.0,-34091000.0,261445000.0,208081000.0
June 2019,12124000.0,47042000.0,-32416000.0,383326000.0,321967000.0
September 2019,12796000.0,56715000.0,-23137000.0,380250000.0,323737000.0
December 2019,15002000.0,58587000.0,-35183000.0,582656000.0,523167000.0
March 2020,18225000.0,65681000.0,-35372000.0,558639000.0,497208000.0
June 2020,23005000.0,68188000.0,-59637000.0,723261000.0,663504000.0
September 2020,26421000.0,75678000.0,-58323000.0,976713000.0,916012000.0
December 2020,32384000.0,94080000.0,-76411000.0,932153000.0,862663000.0
March 2021,40188000.0,108332000.0,-63853000.0,893512000.0,791403000.0
June 2021,53752000.0,127456000.0,-116026000.0,849956000.0,739888000.0
September 2021,98457000.0,128485000.0,-151273000.0,1311374000.0,1191223000.0
December 2021,71811000.0,146761000.0,-140564000.0,1236487000.0,1093138000.0
March 2022,80414000.0,147634000.0,-138595000.0,1144664000.0,980226000.0
June 2022,82580000.0,149468000.0,-145151000.0,1066976000.0,901555000.0
