,OperatingExpenses,NetIncomeLoss,Assets,AssetsNoncurrent
March 2015,,-147000.0,1427676.0,
June 2015,,-558000.0,110402000.0,
September 2015,,-1407000.0,107929000.0,180000.0
December 2015,,-831000.0,105427000.0,261000.0
March 2016,,1122000.0,106494000.0,245000.0
June 2016,,5412000.0,110233000.0,229000.0
September 2016,,4994000.0,125826000.0,198000.0
December 2016,,4489000.0,192779000.0,199000.0
March 2017,37000.0,1783000.0,192429000.0,185000.0
June 2017,37000.0,5194000.0,305127000.0,189000.0
September 2017,114000.0,4457000.0,284193000.0,196000.0
December 2017,,3125000.0,314634000.0,182000.0
March 2018,,5354000.0,417252000.0,170000.0
June 2018,,10797000.0,509860000.0,180000.0
September 2018,,15964000.0,556228000.0,215000.0
December 2018,,22251000.0,590408000.0,233000.0
March 2019,,12114000.0,630632000.0,219000.0
June 2019,,14874000.0,703292000.0,225000.0
September 2019,,10954000.0,776233000.0,216000.0
December 2019,,6465000.0,812777000.0,203000.0
March 2020,,,841409000.0,200000.0
June 2020,,,872172000.0,137000.0
September 2020,,,874284000.0,127000.0
