,OperatingExpenses,NetIncomeLoss,Assets
March 2015,,0.0,
June 2015,,0.0,
September 2015,,0.0,
December 2015,,0.0,202000.0
March 2016,109250.0,-150000.0,428000.0
June 2016,109250.0,-613000.0,15340000.0
September 2016,109250.0,-2092000.0,65655000.0
December 2016,109250.0,-2619000.0,142758000.0
March 2017,,-85000.0,217984000.0
June 2017,,621000.0,349474000.0
September 2017,,754000.0,371512000.0
December 2017,,-749000.0,480153000.0
March 2018,,-2169000.0,503642000.0
June 2018,,-900000.0,573416000.0
September 2018,,-1631000.0,756722000.0
December 2018,,-3654000.0,896372000.0
March 2019,,-12336000.0,934451000.0
June 2019,,-5857000.0,956591000.0
September 2019,,-1899000.0,1037615000.0
December 2019,,1323000.0,1068327000.0
March 2020,,-7766000.0,1128731000.0
June 2020,,-946000.0,1122994000.0
September 2020,,-4920000.0,1111490000.0
December 2020,,15795000.0,1092773000.0
March 2021,,-3744000.0,1086640000.0
June 2021,,-3772000.0,1075781000.0
September 2021,,-5777000.0,1063896000.0
December 2021,,-34501000.0,4580339000.0
March 2022,,-2956000.0,4556185000.0
June 2022,,-17310000.0,4523900000.0
