,OperatingExpenses,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2016,,,-40000.0,,
June 2016,,,-40000.0,,
September 2016,,,-40000.0,,
December 2016,,,-40000.0,150000.0,150000.0
March 2017,,,-27000.0,,
June 2017,,,-20000.0,,
September 2017,,,-14000.0,,
December 2017,,,180000.0,302291000.0,1888000.0
March 2018,,,574000.0,302957000.0,1477000.0
June 2018,,,789000.0,303276000.0,1944000.0
September 2018,,,982000.0,304382000.0,1528000.0
December 2018,,,461000.0,305268000.0,1233000.0
March 2019,15495387.75,,1139000.0,306668000.0,2317000.0
June 2019,15495387.75,,341000.0,307161000.0,1471000.0
September 2019,15495387.75,,53000.0,307699000.0,847000.0
December 2019,15495387.75,,-146000.0,303123000.0,594000.0
March 2020,16290087.0,9374126.0,284000.0,306585000.0,648000.0
June 2020,21157050.0,9374126.0,-1466000.0,64599000.0,621000.0
September 2020,21485463.0,10134882.0,4793954.0,64263000.0,459000.0
December 2020,25552087.0,15383017.0,-1498125.0,48182049.0,35106430.0
March 2021,23631866.0,11358707.0,-644813.0,66915022.0,53840902.0
June 2021,25329917.0,1292604.0,626112.0,54735512.0,40940828.0
September 2021,24524464.0,12906797.0,-3337522.0,53520481.0,37976334.0
December 2021,25879860.0,23996018.0,-4606577.0,52536246.0,35989790.0
March 2022,23328481.0,11672727.0,-3953187.0,49250144.0,30424422.0
June 2022,21520979.0,9940889.0,-899711.0,40660358.0,21316024.0
