,OperatingExpenses,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,AssetsCurrent
March 2015,120500000.0,4250000.0,65750000.0,,
June 2015,120500000.0,4250000.0,65750000.0,,
September 2015,120500000.0,4250000.0,65750000.0,,
December 2015,120500000.0,4250000.0,65750000.0,,
March 2016,63000000.0,3750000.0,56500000.0,,
June 2016,63000000.0,3750000.0,56500000.0,,
September 2016,40000000.0,3750000.0,55000000.0,,
December 2016,49000000.0,3750000.0,57000000.0,2661000000.0,1099000000.0
March 2017,86000000.0,4000000.0,50000000.0,,
June 2017,24000000.0,4000000.0,57000000.0,20000.0,20000.0
September 2017,61000000.0,4000000.0,51000000.0,2724000000.0,1121000000.0
December 2017,109000000.0,4000000.0,60000000.0,2847000000.0,1169000000.0
March 2018,60000000.0,4250000.0,54000000.0,2998000000.0,1250000000.0
June 2018,182000000.0,4250000.0,56000000.0,2961000000.0,1371000000.0
September 2018,485000000.0,4250000.0,52000000.0,2592000000.0,1262000000.0
December 2018,119000000.0,4250000.0,50000000.0,2485000000.0,1125000000.0
March 2019,67000000.0,3750000.0,47000000.0,2466000000.0,1063000000.0
June 2019,45000000.0,3750000.0,45000000.0,2454000000.0,1056000000.0
September 2019,62000000.0,3750000.0,45000000.0,2330000000.0,990000000.0
December 2019,51000000.0,3750000.0,45000000.0,2265000000.0,977000000.0
March 2020,49000000.0,3250000.0,42000000.0,2223000000.0,968000000.0
June 2020,51000000.0,3250000.0,36000000.0,2330000000.0,1075000000.0
September 2020,46000000.0,3250000.0,34000000.0,2300000000.0,1029000000.0
December 2020,82000000.0,3250000.0,44000000.0,2357000000.0,1057000000.0
March 2021,58000000.0,,39000000.0,2333000000.0,1057000000.0
June 2021,,,,,
September 2021,,,,,
December 2021,,,,,
March 2022,,,,,
June 2022,,,,,
