,OperatingExpenses,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets
March 2020,1259500.0,1097500.0,-2265000.0,
June 2020,1259500.0,1097500.0,-5413000.0,
September 2020,1429000.0,1275000.0,-1429000.0,
December 2020,2888000.0,2488000.0,-2890000.0,8614000.0
March 2021,4489000.0,3825000.0,-4473000.0,
June 2021,6814000.0,4485000.0,-6807000.0,
September 2021,7374000.0,4996000.0,-7372000.0,97619000.0
December 2021,8659000.0,5022000.0,-8656000.0,250929000.0
March 2022,10579000.0,6548000.0,-10497000.0,247505000.0
June 2022,12080000.0,7344000.0,-11649000.0,238289000.0
